Metric,UET,Observed,Error_Pct,Status
WZ_Ratio,0.87681,0.88150,0.5324,FAIL
Higgs_Mass,125.064,125.250,0.1483,PASS
sin2_theta_w,0.23121,0.23121,0.0000,PASS
