step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,M_baryon,M_halo,M_total,Halo_Ratio,V_virial
0,0.001,0.024424487143930168,0.0,0.0,0.0,0.0,0.44925680218165204,0.0013585297044877837,True,0.024424487143930168,0.0,100.07424252817836,0.0,100.07424252817836,0.0,0.0
1,0.002,0.02237880890772154,75197.88742424766,0.0,0.0,0.0,0.4266648764893913,0.0013834267305878564,True,0.022354505910342853,2.430299737868583e-05,100.14688863419504,1403.883505956775,1504.03039459097,14.018243852494509,38.78089411662595
2,0.003,0.020632935502579976,72610.76933470808,0.0,0.0,0.0,0.4072998658564037,0.0014083219166973774,True,0.02061068089100164,2.225461157833515e-05,100.21897595064564,1352.0684980599667,1452.2874740106124,13.49114262265384,38.10794387912003
3,0.004,0.019136482110755238,70296.04378122295,0.0,0.0,0.0,0.3903676245241818,0.0014332152622623954,True,0.01911595518212425,2.052692863098395e-05,100.29055443271723,1305.7018996738134,1405.9924541065307,13.019191159589823,37.49561141819745
4,0.005,0.01783647399174439,68201.49679906739,0.0,0.0,0.0,0.37533175705086497,0.0014581067667701994,True,0.01781742931344789,1.904467829650128e-05,100.36168278487199,1263.7393815486307,1364.1010643335028,12.59185125706689,36.932775904084814
5,0.006,0.016694810853938907,66289.60756960974,0.0,0.0,0.0,0.3618341090777153,0.0014829964297456359,True,0.016677054816353076,1.7756037585830567e-05,100.43238605814281,1225.4304686073228,1325.8628546654656,12.20154689828527,36.41142885677785
6,0.007,0.015683137698988308,64532.01484596294,0.0,0.0,0.0,0.3496038065650528,0.00150788425074955,True,0.015666514047770502,1.662365121781038e-05,100.50268953662166,1190.207910861116,1290.7106003977376,11.842547859533447,35.92548255652607
7,0.008,0.014779782804173691,62906.74432801178,0.0,0.0,0.0,0.33844409099190687,0.0015327702293753533,True,0.014764163134430248,1.5619669743443824e-05,100.5726070846906,1157.632197023614,1258.2048041083046,11.510412532482924,35.47019715987262
8,0.009000000000000001,0.013967823061210853,61396.29077854764,0.0,0.0,0.0,0.3281939647144396,0.0015576543652483282,True,0.013953100283863155,1.4722777347699457e-05,100.64215396329072,1127.3532084862625,1227.995362449553,11.20160056278469,35.041772437634386
9,0.010000000000000002,0.01323380559174011,59986.49684896749,0.0,0.0,0.0,0.318734353013778,0.0015825366580215822,True,0.013219889282793128,1.3916308946982746e-05,100.71133675887776,1099.087783016059,1199.7991197749366,10.913247886249115,34.63711790809607
10,0.011000000000000003,0.012566873862755536,58665.67683800646,0.0,0.0,0.0,0.3099581466133047,0.001607417107377349,True,0.0125536868594421,1.3187003313433432e-05,100.78016858741428,1072.6022000012515,1173.3823685886657,10.642988744955902,34.25366457417555
11,0.012000000000000004,0.011958151750269527,57424.13101358197,0.0,0.0,0.0,0.30179140284742423,0.001632295713020361,True,0.011945627601079487,1.2524149190039836e-05,100.84864755971529,1047.7024516842253,1148.5510992439406,10.388859712307621,33.88926998729302
12,0.013000000000000005,0.011400300554017069,56253.613055450944,0.0,0.0,0.0,0.294153185398009,0.0016571724746844091,True,0.011388381571493775,1.1918982523290154e-05,100.91679314244686,1024.2236135493033,1125.1404066917503,10.1491890660203,33.54209685021225
13,0.014000000000000005,0.010887191267838749,55147.25161487743,0.0,0.0,0.0,0.2870036309731141,0.0016820473921172715,True,0.010875827015455693,1.1364252383053653e-05,100.98458462155105,1002.0282391551016,1103.0128237766526,9.922586134313185,33.210616258924624
14,0.015000000000000006,0.010413663926956217,54099.06306539019,0.0,0.0,0.0,0.28026612768748715,0.0017069204651031184,True,0.010402810027493017,1.0853899463199813e-05,101.05207026786056,980.9966766862528,1082.0487469541133,9.707833536474801,32.89348356905671
15,0.016000000000000007,0.009975344419842332,53104.75624714066,0.0,0.0,0.0,0.27394211566174975,0.001731791693420175,True,0.00996496159995877,1.0382819883562582e-05,101.11917088007156,961.0430546749528,1062.1622255550244,9.504063831825285,32.58980093438457
16,0.017000000000000008,0.009568540703151104,52161.97618485154,0.0,0.0,0.0,0.26792437071888153,0.0017566610769156844,True,0.009558594017554746,9.946685596358776e-06,101.18604071336767,942.1203528169592,1043.306393530327,9.310773958202567,32.29921862362975
17,0.01800000000000001,0.009190248325621212,51278.35320688626,0.0,0.0,0.0,0.2622997449659109,0.0014429937283294758,True,0.009180706479648113,9.541845973096605e-06,101.25239518577646,924.3810234243575,1025.633418610134,9.129473151910991,32.02447601659901
18,0.01900000000000001,0.008838652801783026,50493.756264051386,0.0,0.0,0.0,0.2568384060699322,0.0008559885765122071,True,0.008829487440746806,9.165361036220083e-06,101.31877928641691,908.6227300952514,1009.9415093816683,8.967959705847898,31.778532459524115
19,0.02000000000000001,0.008514941763883203,50021.19991183603,0.0,0.0,0.0,0.2518680976154985,1e-12,True,0.008506125735468498,8.81602841470585e-06,101.3882771370897,899.1052189503038,1000.4934960873935,8.86794059756763,31.62947989197294
20,0.02100000000000001,0.008225202579016194,129026.41927192076,0.0,0.0,0.0,0.24674387773105755,1e-12,True,0.008215376342566163,9.82623645003167e-06,101.51750246649786,2479.1401083013257,2580.6576107678234,24.420814618593027,50.798901419601734
