step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,9.067201516258265,0.0,9.067201516258265,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,3.4641533630679273,0.08146410674684072
2,0.002,935.9963385020325,0.0,935.9963385020325,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.45172005992052,0.004022290359807352
3,0.003,2659.8951526286296,0.0,2659.8951526286296,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9045990304399709,0.001830248992354889
4,0.004,2271.511022958685,0.0,2271.511022958685,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0614286476313997,0.0021419168619796216
5,0.005,2582.8354174406363,0.0,2582.8354174406363,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9468457985450511,0.0018970070076050765
6,0.006,2313.3304288289305,0.0,2313.3304288289305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0572752643275225,0.002118219586745913
7,0.007,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
8,0.008,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
9,0.009000000000000001,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
10,0.010000000000000002,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
11,0.011000000000000003,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
12,0.012000000000000004,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
13,0.013000000000000005,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
14,0.014000000000000005,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
15,0.015000000000000006,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
16,0.016000000000000007,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
17,0.017000000000000008,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
18,0.01800000000000001,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
19,0.01900000000000001,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
20,0.02000000000000001,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
21,0.02100000000000001,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
22,0.022000000000000013,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
23,0.023000000000000013,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
24,0.024000000000000014,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
25,0.025000000000000015,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
26,0.026000000000000016,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
27,0.027000000000000017,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
28,0.028000000000000018,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
29,0.02900000000000002,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
30,0.03000000000000002,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
31,0.03100000000000002,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
32,0.03200000000000002,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
33,0.03300000000000002,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
34,0.03400000000000002,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
35,0.035000000000000024,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
36,0.036000000000000025,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
37,0.037000000000000026,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
38,0.03800000000000003,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
39,0.03900000000000003,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
40,0.04000000000000003,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
41,0.04100000000000003,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
42,0.04200000000000003,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
43,0.04300000000000003,2587.699528236,0.0,2587.699528236,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9454657757889512,0.001893922463420367
44,0.04400000000000003,2313.299472264,0.0,2313.299472264,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.057637304849442,0.0021186203679755
