step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility,value_delta
0,0.01,0.0502783203125,0.0,0.0,0.0,0.0,1.0,0.0,True,0.05,0.00027832031250000003,0,0,0.0,0.0,100.00000004638672,0.0,0.0
1,0.02,0.10052880859374999,0.0,0.0,0.0,0.0,1.0,0.0,True,0.1,0.00052880859375,0,0,0.0,0.0,100.00000013452149,0.0,0.0
2,0.03,0.15075355224609377,0.0,0.0,0.0,0.0,1.0,0.0,True,0.15000000000000002,0.0007535522460937499,0,0,0.0,0.0,100.00000026011354,0.0,0.0
3,0.04,0.20095449951171876,0.0,0.0,0.0,0.0,1.0,0.0,True,0.2,0.0009544995117187498,0,0,0.0,0.0,100.0000004191968,0.0,0.0
4,0.05,0.251133468170166,0.0,0.0,0.0,0.0,1.0,0.0,True,0.25,0.0011334681701660155,0,0,0.0,0.0,100.00000060810815,0.0,0.0
5,0.060000000000000005,0.30129215371398926,0.0,0.0,0.0,0.0,1.0,0.0,True,0.3,0.0012921537139892576,0,0,0.0,0.0,100.0000008234671,0.0,0.0
6,0.07,0.3514321370330048,0.0,0.0,0.0,0.0,1.0,0.0,True,0.35,0.0014321370330047602,0,0,0.0,0.0,100.00000106215661,0.0,0.0
7,0.08,0.4015548916358337,0.0,0.0,0.0,0.0,1.0,0.0,True,0.4,0.0015548916358337395,0,0,0.0,0.0,100.00000132130523,0.0,0.0
8,0.09,0.45166179043579735,0.0,0.0,0.0,0.0,1.0,0.0,True,0.45000000000000007,0.001661790435797309,0,0,0.0,0.0,100.00000159827032,0.0,0.0
9,0.09999999999999999,0.539254112126675,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5375,0.0017541121266749374,0,0,0.0,0.0,100.00000189062236,0.0,0.0
10,0.10999999999999999,0.5893330471723753,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5875,0.0018330471723753095,0,0,0.0,0.0,100.00000219613023,0.0,0.0
11,0.11999999999999998,0.6768997034331891,0.0,0.0,0.0,0.0,1.0,0.0,True,0.675,0.0018997034331889571,0,0,0.0,0.0,100.00000251274747,0.0,0.0
12,0.12999999999999998,0.7269551114499904,0.0,0.0,0.0,0.0,1.0,0.0,True,0.7250000000000001,0.0019551114499903014,0,0,0.0,0.0,100.00000283859939,0.0,0.0
13,0.13999999999999999,0.7770002294065286,0.0,0.0,0.0,0.0,1.0,0.0,True,0.775,0.002000229406528539,0,0,0.0,0.0,100.00000317197097,0.0,0.0
14,0.15,0.8645359477887881,0.0,0.0,0.0,0.0,1.0,0.0,True,0.8624999999999999,0.0020359477887879774,0,0,0.0,0.0,100.00000351129562,0.0,0.0
15,0.16,0.9145630937593051,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9125,0.0020630937593051502,0,0,0.0,0.0,100.00000385514458,0.0,0.0
16,0.17,0.9645824352632986,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9625000000000001,0.002082435263298636,0,0,0.0,0.0,100.00000420221714,0.0,0.0
17,0.18000000000000002,1.0145946848824945,0.0,0.0,0.0,0.0,1.0,0.0,True,1.0125000000000002,0.00209468488249451,0,0,0.0,0.0,100.00000455133129,0.0,0.0
18,0.19000000000000003,1.0646005034516124,0.0,0.0,0.0,0.0,1.0,0.0,True,1.0625,0.0021005034516125504,0,0,0.0,0.0,100.00000490141522,0.0,0.0
19,0.20000000000000004,1.1146005034516124,0.0,0.0,0.0,0.0,1.0,0.0,True,1.1125,0.0021005034516125504,0,0,0.0,0.0,100.00000525149916,0.0,0.0
20,0.21000000000000005,1.1645952521929837,0.0,0.0,0.0,0.0,1.0,0.0,True,1.1625,0.002095252192983519,0,0,0.0,0.0,100.00000560070788,0.0,0.0
21,0.22000000000000006,1.2145852748015882,0.0,0.0,0.0,0.0,1.0,0.0,True,1.2125,0.0020852748015883593,0,0,0.0,0.0,100.00000594825369,0.0,0.0
22,0.23000000000000007,1.3020710570188503,0.0,0.0,0.0,0.0,1.0,0.0,True,1.3,0.0020710570188502567,0,0,0.0,0.0,100.00000629342989,0.0,0.0
23,0.24000000000000007,1.352053047827382,0.0,0.0,0.0,0.0,1.0,0.0,True,1.35,0.0020530478273819938,0,0,0.0,0.0,100.00000663560456,0.0,0.0
24,0.25000000000000006,1.4020316619125135,0.0,0.0,0.0,0.0,1.0,0.0,True,1.4000000000000001,0.002031661912513431,0,0,0.0,0.0,100.0000069742149,0.0,0.0
25,0.26000000000000006,1.4895072819695634,0.0,0.0,0.0,0.0,1.0,0.0,True,1.4875,0.0020072819695632696,0,0,0.0,0.0,100.00000730876191,0.0,0.0
26,0.2700000000000001,1.576980260866127,0.0,0.0,0.0,0.0,1.0,0.0,True,1.575,0.0019802608661268406,0,0,0.0,0.0,100.00000763880541,0.0,0.0
27,0.2800000000000001,1.6269509236681103,0.0,0.0,0.0,0.0,1.0,0.0,True,1.625,0.0019509236681101464,0,0,0.0,0.0,100.00000796395939,0.0,0.0
28,0.2900000000000001,1.71441956953773,0.0,0.0,0.0,0.0,1.0,0.0,True,1.7125,0.001919569537729805,0,0,0.0,0.0,100.00000828388768,0.0,0.0
29,0.3000000000000001,1.7393864735112172,0.0,0.0,0.0,0.0,1.0,0.0,True,1.7375,0.001886473511217222,0,0,0.0,0.0,100.00000859829996,0.0,0.0
30,0.3100000000000001,1.7893518881635115,0.0,0.0,0.0,0.0,1.0,0.0,True,1.7875,0.0018518881635115727,0,0,0.0,0.0,100.000008906948,0.0,0.0
31,0.3200000000000001,1.8518160451667987,0.0,0.0,0.0,0.0,1.0,0.0,True,1.85,0.0018160451667984454,0,0,0.0,0.0,100.00000920962222,0.0,0.0
32,0.3300000000000001,1.9017791567493478,0.0,0.0,0.0,0.0,1.0,0.0,True,1.9000000000000001,0.0017791567493478516,0,0,0.0,0.0,100.00000950614836,0.0,0.0
33,0.34000000000000014,1.9517414170607257,0.0,0.0,0.0,0.0,1.0,0.0,True,1.9500000000000002,0.0017414170607253218,0,0,0.0,0.0,100.00000979638456,0.0,0.0
34,0.35000000000000014,2.0017030034490917,0.0,0.0,0.0,0.0,1.0,0.0,True,2.0,0.0017030034490916747,0,0,0.0,0.0,100.0000100802185,0.0,0.0
35,0.36000000000000015,2.0641640776559695,0.0,0.0,0.0,0.0,1.0,0.0,True,2.0625,0.0016640776559695791,0,0,0.0,0.0,100.0000103575648,0.0,0.0
36,0.37000000000000016,2.151624786933537,0.0,0.0,0.0,0.0,1.0,0.0,True,2.1500000000000004,0.001624786933536964,0,0,0.0,0.0,100.00001062836266,0.0,0.0
37,0.38000000000000017,2.201585265089208,0.0,0.0,0.0,0.0,1.0,0.0,True,2.2,0.0015852650892076864,0,0,0.0,0.0,100.00001089257354,0.0,0.0
