step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,order_parameter,domain_count
0,0.01,-0.5000616635024342,0.0,-0.5000641353564796,0.0,0.0,0.008152839387324907,-0.007268544615154791,True,2.471854045566508e-06,0.0,0.002386183507164295,495
10,0.10999999999999999,-0.5350683310997946,0.0,-0.5505117989048176,0.0,0.0,0.6473395601540436,-0.6923578920400263,True,0.015443467805022955,0.0,0.26414129636813605,362
20,0.21000000000000005,-0.7267965239470768,0.0,-0.78905124845209,0.0,0.0,0.9871417332299869,-0.9738498761856067,True,0.06225472450501313,0.0,0.7056708161312752,267
30,0.3100000000000001,-0.761085144929805,0.0,-0.8205199140175314,0.0,0.0,1.032357364992707,-1.0473661860131853,True,0.059434769087726436,0.0,0.7488359955721824,252
40,0.4100000000000002,-0.7330831851135032,0.0,-0.7947837288545074,0.0,0.0,1.2195290509844083,-1.2021783167490896,True,0.06170054374100422,0.0,0.7101846005109824,252
50,0.5100000000000002,-0.7355243864200613,0.0,-0.7975246447034876,0.0,0.0,1.2160508907828866,-1.2252156098402105,True,0.06200025828342624,0.0,0.7128059894323371,251
60,0.6100000000000003,-0.7370671353437275,0.0,-0.7990664960901681,0.0,0.0,1.2115306959108594,-1.225249309367196,True,0.061999360746440545,0.0,0.7133994101942212,252
70,0.7100000000000004,-0.7369612772049166,0.0,-0.7987802080963575,0.0,0.0,1.213086741697045,-1.221007174962133,True,0.06181893089144112,0.0,0.7140424411774301,252
80,0.8100000000000005,-0.7340687518776403,0.0,-0.7958681578172742,0.0,0.0,1.2135904015544188,-1.2163659983151787,True,0.06179940593963398,0.0,0.7138148738478831,252
90,0.9100000000000006,-0.733818738234137,0.0,-0.7954892483052559,0.0,0.0,1.213008700816176,-1.2144082380849868,True,0.06167051007111889,0.0,0.7125966511372197,251
100,1.0100000000000007,-0.733992051011216,0.0,-0.7956486536021918,0.0,0.0,1.210438485658356,-1.2143619245734656,True,0.0616566025909759,0.0,0.7127550879818478,251
110,1.1100000000000008,-0.7308551900804928,0.0,-0.7924766534464815,0.0,0.0,1.2106116860821095,-1.2065519261345936,True,0.06162146336598871,0.0,0.712573785405719,252
120,1.2100000000000009,-0.7314207352923685,0.0,-0.7931945550093384,0.0,0.0,1.214558614155312,-1.2095108304963071,True,0.06177381971696979,0.0,0.7128162388838555,252
130,1.310000000000001,-0.7309809457160941,0.0,-0.7925604436101814,0.0,0.0,1.2095986510732626,-1.2087000885015926,True,0.06157949789408737,0.0,0.7126504963326358,252
140,1.410000000000001,-0.7306559214498258,0.0,-0.7924783227533476,0.0,0.0,1.2134738675530203,-1.2118836328248097,True,0.06182240130352189,0.0,0.7126576134099976,252
150,1.5100000000000011,-0.73026837343588,0.0,-0.7917678698792023,0.0,0.0,1.2126731357603022,-1.203191937852357,True,0.061499496443322366,0.0,0.7118228285646724,253
160,1.6100000000000012,-0.7312609063293036,0.0,-0.7931150444663064,0.0,0.0,1.212319571030676,-1.2117303353663984,True,0.061854138137002704,0.0,0.7118885295030379,252
170,1.7100000000000013,-0.7278552035012029,0.0,-0.7894857069491421,0.0,0.0,1.2109966938690129,-1.2079455947643143,True,0.06163050344793913,0.0,0.7116120943729387,252
180,1.8100000000000014,-0.7267669850516698,0.0,-0.7886484707245679,0.0,0.0,1.2132439052945494,-1.21109813969127,True,0.06188148567289814,0.0,0.7112697227114231,252
190,1.9100000000000015,-0.7261833824030806,0.0,-0.787793559892957,0.0,0.0,1.21431780650338,-1.2052928180237368,True,0.06161017748987625,0.0,0.7118831389116336,252
200,2.010000000000001,-0.729135048044798,0.0,-0.7909254320367012,0.0,0.0,1.2117135318880448,-1.211214079895669,True,0.061790383991903154,0.0,0.7113237082582964,251
