step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,S_total,T_A,T_B,E_A,E_B
0,1.0,94.78114337520678,0.0,94.78114337520678,0.0,0.0,20.455926363202803,0.23090777506376875,True,0.0,0.0,211.56686105810215,20.455926363202803,0.23090777506376875,998,2
100,101.0,66.7716633791877,0.0,66.7716633791877,0.0,0.0,17.335193090063825,1.4981166801884,True,0.0,0.0,406.0292918210837,17.335193090063825,1.4981166801884,842,158
200,201.0,50.06257057639066,0.0,50.06257057639066,0.0,0.0,15.09447962167283,2.263299845567923,True,0.0,0.0,459.4633528503648,15.09447962167283,2.263299845567923,730,270
300,301.0,37.38895962362946,0.0,37.38895962362946,0.0,0.0,13.073626465563185,2.945091891034986,True,0.0,0.0,491.28154728807795,13.073626465563185,2.945091891034986,629,371
400,401.0,32.78663258576593,0.0,32.78663258576593,0.0,0.0,12.233188688896227,3.2275552120469806,True,0.0,0.0,501.57883172426864,12.233188688896227,3.2275552120469806,587,413
500,501.0,30.13413342308141,0.0,30.13413342308141,0.0,0.0,11.712886193034947,3.402207965061894,True,0.0,0.0,507.25214950055124,11.712886193034947,3.402207965061894,561,439
600,601.0,26.07714050017525,0.0,26.07714050017525,0.0,0.0,10.852322238416347,3.6907821374291365,True,0.0,0.0,515.5703800857814,10.852322238416347,3.6907821374291365,518,482
700,701.0,23.57313400899904,0.0,23.57313400899904,0.0,0.0,10.271888524418811,3.8852416236334406,True,0.0,0.0,520.4814185287628,10.271888524418811,3.8852416236334406,489,511
800,801.0,22.03395414435606,0.0,22.03395414435606,0.0,0.0,9.891576758307792,4.01258681676478,True,0.0,0.0,523.4084604087057,9.891576758307792,4.01258681676478,470,530
900,901.0,20.724821110361514,0.0,20.724821110361514,0.0,0.0,9.551276756513989,4.1264916879706695,True,0.0,0.0,525.8372147057703,9.551276756513989,4.1264916879706695,453,547
1000,1001.0,20.130989762692902,0.0,20.130989762692902,0.0,0.0,9.391128053107762,4.180083182421427,True,0.0,0.0,526.9187403750584,9.391128053107762,4.180083182421427,445,555
1100,1101.0,19.76707032494456,0.0,19.76707032494456,0.0,0.0,9.291032509218072,4.213574525488288,True,0.0,0.0,527.5748472507867,9.291032509218072,4.213574525488288,440,560
1200,1201.0,20.204440587656904,0.0,20.204440587656904,0.0,0.0,9.4111469179089,4.17338460889619,True,0.0,0.0,526.7856889460363,9.4111469179089,4.17338460889619,446,554
1300,1301.0,18.777663489576124,0.0,18.777663489576124,0.0,0.0,9.010753688831016,4.307337191032203,True,0.0,0.0,529.3309873173853,9.010753688831016,4.307337191032203,426,574
1400,1401.0,18.36697078161934,0.0,18.36697078161934,0.0,0.0,8.890628810497562,4.3475155117524364,True,0.0,0.0,530.0471532590791,8.890628810497562,4.3475155117524364,420,580
1500,1501.0,18.36697078161934,0.0,18.36697078161934,0.0,0.0,8.890628810497562,4.3475155117524364,True,0.0,0.0,530.0471532590791,8.890628810497562,4.3475155117524364,420,580
1600,1601.0,17.43981180462864,0.0,17.43981180462864,0.0,0.0,8.610323870892348,4.441252359046147,True,0.0,0.0,531.6331081688204,8.610323870892348,4.441252359046147,406,594
1700,1701.0,17.246803923789322,0.0,17.246803923789322,0.0,0.0,8.550255924244158,4.461336616622727,True,0.0,0.0,531.9574305922874,8.550255924244158,4.461336616622727,403,597
1800,1801.0,17.897944578150714,0.0,17.897944578150714,0.0,0.0,8.750478783798508,4.394386090958428,True,0.0,0.0,530.8550330676221,8.750478783798508,4.394386090958428,413,587
1900,1901.0,17.310917567800786,0.0,17.310917567800786,0.0,0.0,8.570278679003646,4.454641948657766,True,0.0,0.0,531.8499330096784,8.570278679003646,4.454641948657766,404,596
2000,2001.0,17.119243585488004,0.0,17.119243585488004,0.0,0.0,8.510210093353175,4.474725700778132,True,0.0,0.0,532.1705947631717,8.510210093353175,4.474725700778132,401,599
2100,2101.0,17.897944578150714,0.0,17.897944578150714,0.0,0.0,8.750478783798508,4.394386090958428,True,0.0,0.0,530.8550330676221,8.750478783798508,4.394386090958428,413,587
2200,2201.0,17.70026806865621,0.0,17.70026806865621,0.0,0.0,8.690413004666729,4.414472154268902,True,0.0,0.0,531.1921463158924,8.690413004666729,4.414472154268902,410,590
2300,2301.0,16.929570455228607,0.0,16.929570455228607,0.0,0.0,8.450140532148241,4.4948087032277435,True,0.0,0.0,532.4857591672312,8.450140532148241,4.4948087032277435,398,602
2400,2401.0,17.70026806865621,0.0,17.70026806865621,0.0,0.0,8.690413004666729,4.414472154268902,True,0.0,0.0,531.1921463158924,8.690413004666729,4.414472154268902,410,590
2500,2501.0,16.929570455228607,0.0,16.929570455228607,0.0,0.0,8.450140532148241,4.4948087032277435,True,0.0,0.0,532.4857591672312,8.450140532148241,4.4948087032277435,398,602
2600,2601.0,16.679785394223774,0.0,16.679785394223774,0.0,0.0,8.370046229991631,4.5215848910229655,True,0.0,0.0,532.8974119043987,8.370046229991631,4.5215848910229655,394,606
2700,2701.0,17.05579689157862,0.0,17.05579689157862,0.0,0.0,8.490187015703762,4.481420117724549,True,0.0,0.0,532.2762607830059,8.490187015703762,4.481420117724549,400,600
2800,2801.0,17.05579689157862,0.0,17.05579689157862,0.0,0.0,8.490187015703762,4.481420117724549,True,0.0,0.0,532.2762607830059,8.490187015703762,4.481420117724549,400,600
