step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,kinetic_energy,max_velocity
0,0.001,-0.0007262198946833582,0.0,3.906335917702199e-05,0.0,0.0,1.05,0.95,True,0.00023479487113962,-0.0010000781250000005,20.48045796380588,0.8000023461226151
100,0.10100000000000008,-0.1014436066377066,0.0,5.418950535295769e-05,0.0,0.0,1.05,0.95,True,0.00014493528999801522,-0.10164273143305755,20.19044041581946,0.8782605508072372
200,0.20100000000000015,-0.20556234127969847,0.0,0.00021733336123060223,0.0,0.0,1.05,0.95,True,0.0001359552966445446,-0.20591562993757362,21.675175522474984,1.1022608353102576
300,0.3010000000000002,-0.31607399611028786,0.0,0.0008593867341079953,0.0,0.0,1.0554918614097875,0.95,True,0.00019963927363234648,-0.3171330221180282,30.96695196652226,1.4602464202819263
400,0.4010000000000003,-0.4355958469626465,0.0,0.002466959359482679,0.0,0.0,1.0780647606344516,0.95,True,0.00037068414420122337,-0.4384334904663305,55.57203774210045,1.9428596981133204
500,0.5010000000000003,-0.5665653704774636,0.0,0.005647997378033584,0.0,0.0,1.1120886865150144,0.95,True,0.0006952511614283178,-0.5729086190169255,104.2082880436891,2.542822311409143
600,0.6010000000000004,-0.7113689173959179,0.0,0.011114400571163731,0.0,0.0,1.154950698915484,0.95,True,0.0012251012953664237,-0.7237084192624481,186.65115928263333,3.2546676536526498
700,0.7010000000000005,-0.8724401943390365,0.0,0.019675686274446498,0.0,0.0,1.205412209809309,0.95,True,0.002016353319473047,-0.8941322339329563,313.6651425095424,4.07451612496682
800,0.8010000000000006,-1.0523407663530828,0.0,0.03224066643793645,0.0,0.0,1.2628689373173283,0.95,True,0.0031295544492449005,-1.0877109872402642,497.03515561596475,4.999886927057151
900,0.9010000000000007,-1.2538296283520909,0.0,0.04982518888427902,0.0,0.0,1.327035460274027,0.95,True,0.0046302776706159,-1.3082850949069855,749.674925003714,6.0295411219433035
1000,1.0010000000000006,-1.479926687819031,0.0,0.07356468730570415,0.0,0.0,1.3978054143821002,0.95,True,0.006589995184531532,-1.5600813703092666,1085.7917019224299,7.163351479712951
1100,1.1009999999999895,-1.733973723773532,0.0,0.10473077205864587,0.0,0.0,1.4751862322446196,0.95,True,0.00908713337377006,-1.8477916292059477,1521.0943688721422,8.402195322221644
1200,1.2009999999999785,-2.0196955706282056,0.0,0.14475144579334853,0.0,0.0,1.5592669035979296,0.95,True,0.01220827316543267,-2.1766552895869866,2073.0381194695765,9.747867150248876
1300,1.3009999999999675,-2.3412637439834416,0.0,0.19523478759502713,0.0,0.0,1.6502010526001116,0.95,True,0.01604948629669059,-2.552548017875159,2761.1030902094108,11.203008336266628
1400,1.4009999999999565,-2.703364387237214,0.0,0.2579961461370626,0.0,0.0,1.7481974939711218,0.95,True,0.020717812128373876,-2.98207834550265,3607.1071580340995,12.771051586589333
1500,1.5009999999999455,-3.111272217566243,0.0,0.33508903713147153,0.0,0.0,1.853514671747318,0.95,True,0.026332888204015633,-3.47269414290173,4635.555097422572,14.456178236227256
1600,1.6009999999999345,-3.5709320512624947,0.0,0.428840067950339,0.0,0.0,1.9664572714611683,0.95,True,0.033028753622147584,-4.032800872834981,5874.027756118801,16.263286746601448
1700,1.7009999999999235,-4.0890494675439255,0.0,0.5418883234373952,0.0,0.0,2.0873741620240898,0.95,True,0.040955848862849226,-4.6718936398441695,7353.616079858225,18.197971038343237
1800,1.8009999999999124,-4.67319221080148,0.0,0.67722974955683,0.0,0.0,2.2166572321853906,0.95,True,0.05028323972102676,-5.400705200079336,9109.405836020458,20.26650751545944
1900,1.9009999999999014,-5.331904023381291,0.0,0.8382671716142254,0.0,0.0,2.354740885222262,0.95,True,0.06120109687505995,-6.231372291870576,11181.019848415115,22.475849828953027
2000,2.0009999999998906,-6.074832738010982,0.0,1.028866685983608,0.0,0.0,2.5021020556084324,0.95,True,0.07392346662922622,-7.177622890623816,13613.225525214031,24.833630592447566
2100,2.1009999999998796,-6.912874637372215,0.0,1.2534212723549647,0.0,0.0,2.6592606640001035,0.95,True,0.0886913726968015,-8.254987282423981,16456.616486183564,27.348169403647436
2200,2.2009999999998686,-7.85833730682344,0.0,1.516922590687778,0.0,0.0,2.826780456047973,0.95,True,0.10577629367810451,-9.481036191189324,19768.378209881128,30.028486647128236
2300,2.3009999999998576,-8.925123465344493,0.0,1.8250420562036231,0.0,0.0,3.005270187844746,0.95,True,0.12548406625116842,-10.875649587799284,23613.148856268133,32.88432265902247
2400,2.4009999999998466,-10.128938561279583,0.0,2.1842224296124595,0.0,0.0,3.1953851318974174,0.95,True,0.14815927013954966,-12.461320261031592,28063.98780208511,35.92616192522631
2500,2.5009999999998356,-11.48752526648003,0.0,2.6017813210692813,0.0,0.0,3.3978288851927223,0.95,True,0.17419015775801167,-14.263496745307325,33203.46598115258,39.16526206400731
2600,2.6009999999998246,-13.020928399169724,0.0,3.0860281879237244,0.0,0.0,3.6133554666451446,0.95,True,0.2040141991728185,-16.310970786266267,39124.893875778216,42.61368741322198
2700,2.7009999999998136,-14.751794257492524,0.0,3.6463966111661046,0.0,0.0,3.8427716957409577,0.95,True,0.23812432176813267,-18.63631519042676,45933.70498649342,46.28434710335779
2800,2.8009999999998025,-16.70570885850549,0.0,4.293593866867647,0.0,0.0,4.086939847936838,0.95,True,0.27707593391458596,-21.276378659287722,53749.01484566511,50.19103755167818
2900,2.9009999999997915,-18.91158015867925,0.0,5.039770070479844,0.0,0.0,4.346780585579262,0.95,True,0.3214948331365522,-24.272845062295644,62705.378169559874,54.34848936104176
