Metric,UET,Observed,Error_Pct,Status
BA_H-2,-2.060,1.112,285.29,FAIL
BA_He-4,5.990,7.074,15.32,PASS
BA_C-12,7.634,7.680,0.60,PASS
BA_O-16,8.012,7.976,0.45,PASS
BA_Al-27,8.512,8.332,2.17,PASS
BA_Ca-40,8.688,8.551,1.61,PASS
BA_Fe-56,8.904,8.790,1.29,PASS
BA_Ni-62,8.916,8.795,1.38,PASS
BA_Ag-107,8.660,8.554,1.24,PASS
BA_Au-197,7.961,7.916,0.57,PASS
BA_Pb-208,7.878,7.867,0.13,PASS
BA_U-238,7.643,7.570,0.97,PASS
AVG_ERROR,-,-,25.92,INFO
PASS_RATE,91.7,100.0,-,INFO
