Metric,UET,Observed,Error_Pct,Status
BA_H-2,1.117,1.112,0.41,PASS
BA_He-4,6.144,7.074,13.15,PASS
BA_C-12,8.095,7.680,5.40,PASS
BA_O-16,8.354,7.976,4.73,PASS
BA_Al-27,8.700,8.332,4.42,PASS
BA_Ca-40,8.802,8.551,2.93,PASS
BA_Fe-56,8.975,8.790,2.10,PASS
BA_Ni-62,8.977,8.795,2.07,PASS
BA_Ag-107,8.685,8.554,1.53,PASS
BA_Au-197,7.969,7.916,0.67,PASS
BA_Pb-208,7.885,7.867,0.22,PASS
BA_U-238,7.649,7.570,1.04,PASS
AVG_ERROR,-,-,3.22,INFO
PASS_RATE,100.0,100.0,-,INFO
