step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,S_total,T_A,T_B,E_A,E_B
0,1.0,94.98824132153842,0.0,94.98824132153842,0.0,0.0,20.47593034262955,0.19931118704250333,True,0.0,0.0,206.98143331101775,20.47593034262955,0.19931118704250333,999,1
100,101.0,67.58282693756139,0.0,67.58282693756139,0.0,0.0,17.43522066474621,1.4634969809445666,True,0.0,0.0,402.9402136069001,17.43522066474621,1.4634969809445666,847,153
200,201.0,49.78958286733541,0.0,49.78958286733541,0.0,0.0,15.054464950697714,2.276850194404637,True,0.0,0.0,460.2117088284417,15.054464950697714,2.276850194404637,728,272
300,301.0,39.363326926721996,0.0,39.363326926721996,0.0,0.0,13.41378806233528,2.8306211105278067,True,0.0,0.0,486.677771621964,13.41378806233528,2.8306211105278067,646,354
400,401.0,33.8468469593679,0.0,33.8468469593679,0.0,0.0,12.433298290747146,3.1603421100071016,True,0.0,0.0,499.2586318381923,12.433298290747146,3.1603421100071016,597,403
500,501.0,28.48107144406811,0.0,28.48107144406811,0.0,0.0,11.372673438018353,3.5163329518370654,True,0.0,0.0,510.6940314453773,11.372673438018353,3.5163329518370654,544,456
600,601.0,25.898447789986736,0.0,25.898447789986736,0.0,0.0,10.812293822504333,3.7041969419386325,True,0.0,0.0,515.9266551510209,10.812293822504333,3.7041969419386325,516,484
700,701.0,24.758621351585344,0.0,24.758621351585344,0.0,0.0,10.552103862551503,3.791379086646966,True,0.0,0.0,518.178484467895,10.552103862551503,3.791379086646966,503,497
800,801.0,21.79826209828025,0.0,21.79826209828025,0.0,0.0,9.831525326423577,4.032690027328856,True,0.0,0.0,523.8500284100919,9.831525326423577,4.032690027328856,467,533
900,901.0,21.72014270906746,0.0,21.72014270906746,0.0,0.0,9.811508042507096,4.039390868760145,True,0.0,0.0,523.9959787491703,9.811508042507096,4.039390868760145,466,534
1000,1001.0,21.95516781585473,0.0,21.95516781585473,0.0,0.0,9.87155968389779,4.019288001906784,True,0.0,0.0,523.5562697842938,9.87155968389779,4.019288001906784,469,531
1100,1101.0,20.575029398882766,0.0,20.575029398882766,0.0,0.0,9.511240050305377,4.139890189418861,True,0.0,0.0,526.1112665746641,9.511240050305377,4.139890189418861,451,549
1200,1201.0,21.564570869468707,0.0,21.564570869468707,0.0,0.0,9.771473262158503,4.052792211912446,True,0.0,0.0,524.2860241111343,9.771473262158503,4.052792211912446,464,536
1300,1301.0,20.649814098402267,0.0,20.649814098402267,0.0,0.0,9.531258441970557,4.133190991611451,True,0.0,0.0,525.9745468958567,9.531258441970557,4.133190991611451,452,548
1400,1401.0,19.984755050120512,0.0,19.984755050120512,0.0,0.0,9.3510900810974,4.19348002309059,True,0.0,0.0,527.1830124365852,9.3510900810974,4.19348002309059,443,557
1500,1501.0,19.911971162547527,0.0,19.911971162547527,0.0,0.0,9.331070972846867,4.200178291217301,True,0.0,0.0,527.3142335764101,9.331070972846867,4.200178291217301,442,558
1600,1601.0,18.916339567092024,0.0,18.916339567092024,0.0,0.0,9.050794578013406,4.2939436745333115,True,0.0,0.0,529.0874052474378,9.050794578013406,4.2939436745333115,428,572
1700,1701.0,19.408708701465834,0.0,19.408708701465834,0.0,0.0,9.190934883418294,4.247063371950832,True,0.0,0.0,528.2157241237328,9.190934883418294,4.247063371950832,435,565
1800,1801.0,19.69495337497236,0.0,19.69495337497236,0.0,0.0,9.271013152771287,4.220272492596527,True,0.0,0.0,527.7042402192383,9.271013152771287,4.220272492596527,439,561
1900,1901.0,19.69495337497236,0.0,19.69495337497236,0.0,0.0,9.271013152771287,4.220272492596527,True,0.0,0.0,527.7042402192383,9.271013152771287,4.220272492596527,439,561
2000,2001.0,19.479936400800675,0.0,19.479936400800675,0.0,0.0,9.210954578392789,4.240365799531466,True,0.0,0.0,528.0887659951727,9.210954578392789,4.240365799531466,436,564
2100,2101.0,19.984755050120512,0.0,19.984755050120512,0.0,0.0,9.3510900810974,4.19348002309059,True,0.0,0.0,527.1830124365852,9.3510900810974,4.19348002309059,443,557
2200,2201.0,19.055904897543254,0.0,19.055904897543254,0.0,0.0,9.09083510685595,4.280549780728873,True,0.0,0.0,528.841392726386,9.09083510685595,4.280549780728873,430,570
2300,2301.0,18.70865892087442,0.0,18.70865892087442,0.0,0.0,8.99073310760601,4.314033808896174,True,0.0,0.0,529.4518670488947,8.99073310760601,4.314033808896174,425,575
2400,2401.0,17.63482052926882,0.0,17.63482052926882,0.0,0.0,8.670390875666973,4.4211673346330365,True,0.0,0.0,531.3033002678344,8.670390875666973,4.4211673346330365,409,591
2500,2501.0,16.130774655458403,0.0,16.130774655458403,0.0,0.0,8.18982730275479,4.581826625954332,True,0.0,0.0,533.7877136132265,8.18982730275479,4.581826625954332,385,615
2600,2601.0,16.311777358782948,0.0,16.311777358782948,0.0,0.0,8.24990134179201,4.561746758181186,True,0.0,0.0,533.4964851208892,8.24990134179201,4.561746758181186,388,612
2700,2701.0,16.55622677306766,0.0,16.55622677306766,0.0,0.0,8.329998398535542,4.534972499148619,True,0.0,0.0,533.0995603761244,8.329998398535542,4.534972499148619,392,608
