step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,59.78200111441679,0.0,59.78200111441679,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.4317625602223777,0.009195351557743916
2,0.002,445.3352815017762,0.0,445.3352815017762,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.3789415245081404,0.005599481340818394
3,0.003,344.64197774204933,0.0,344.64197774204933,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.4211743417771108,0.006480005098100481
4,0.004,407.0752016372068,0.0,407.0752016372068,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.4960364815664688,0.006188684884666601
5,0.005,383.42628218225735,0.0,383.42628218225735,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5549589106533583,0.0065511709016681866
6,0.006,422.3596949166068,0.0,422.3596949166068,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5541961740247174,0.00624510990536483
7,0.007,402.4513346270715,0.0,402.4513346270715,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5669191538256741,0.0064327589903630375
8,0.008,446.3118783415992,0.0,446.3118783415992,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5608674583972286,0.006096907666490246
9,0.009000000000000001,416.67462100872797,0.0,416.67462100872797,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5744127771346432,0.006345853553684136
10,0.010000000000000002,450.7773073679358,0.0,450.7773073679358,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.56779710304482,0.006086598326259477
11,0.011000000000000003,421.1818340507045,0.0,421.1818340507045,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5800263999395754,0.0063287390163978595
12,0.012000000000000004,455.2882023860786,0.0,455.2882023860786,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.572750625563583,0.0060707287811883415
13,0.013000000000000005,425.6963621633703,0.0,425.6963621633703,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.585471364240497,0.006311451792134281
14,0.014000000000000005,459.8063155706362,0.0,459.8063155706362,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5775527918570698,0.0060547006614478675
15,0.015000000000000006,430.21801323740095,0.0,430.21801323740095,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5907508740750442,0.006294000904835696
16,0.016000000000000007,464.33145817362595,0.0,464.33145817362595,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5822064306437205,0.006038522064506182
17,0.017000000000000008,434.7466018129099,0.0,434.7466018129099,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5958680839214572,0.006276395098830402
18,0.01800000000000001,473.73036024827957,0.0,473.73036024827957,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5858984269356389,0.005989448167243866
19,0.01900000000000001,439.24903975731365,0.0,439.24903975731365,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6020013682858796,0.006262238073426442
20,0.02000000000000001,478.26937895851523,0.0,478.26937895851523,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5901852945845314,0.005973154575705953
21,0.02100000000000001,443.7913268144013,0.0,443.7913268144013,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.606797074892582,0.006244310087101862
22,0.022000000000000013,482.81489261408205,0.0,482.81489261408205,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5943338286671567,0.005956734584924673
23,0.023000000000000013,448.34002602573685,0.0,448.34002602573685,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.611439613122754,0.006226252116826835
24,0.024000000000000014,487.3667370292822,0.0,487.3667370292822,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5983466474409032,0.005940195243331111
25,0.025000000000000015,452.8949759692215,0.0,452.8949759692215,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6159319450148166,0.006208071864146512
26,0.026000000000000016,491.9247534876761,0.0,491.9247534876761,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6022263280558993,0.005923543379558965
27,0.027000000000000017,457.4560205775874,0.0,457.4560205775874,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.620276984470977,0.006189776785934181
28,0.028000000000000018,496.48878851609004,0.0,496.48878851609004,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6059754068033494,0.005906785608406322
29,0.02900000000000002,462.0230089180468,0.0,462.0230089180468,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.624477597625584,0.006171374101028001
30,0.03000000000000002,501.0586936697439,0.0,501.0586936697439,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6095963793857064,0.00588992833666058
31,0.03100000000000002,466.5957949827398,0.0,466.5957949827398,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6285366032327024,0.006152870796722236
32,0.03200000000000002,505.6343253278651,0.0,505.6343253278651,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6130917012072197,0.005872977768788367
33,0.03300000000000002,471.17423748936704,0.0,471.17423748936704,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6324567730716988,0.006134273635114248
34,0.03400000000000002,510.21554449919705,0.0,510.21554449919705,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.616463787683405,0.00585593991249231
35,0.035000000000000024,475.75819969143447,0.0,475.75819969143447,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6362408323696571,0.006115589159308552
36,0.036000000000000025,514.8022166368461,0.0,514.8022166368461,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6197150145680528,0.005838820584136546
37,0.037000000000000026,480.34754919757347,0.0,480.34754919757347,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6398914602394572,0.006096823699479475
38,0.03800000000000003,519.3942114619493,0.0,519.3942114619493,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6228477182964633,0.005821625414042991
39,0.03900000000000003,484.9421577994341,0.0,484.9421577994341,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.643411290132362,0.006077983378793922
40,0.04000000000000003,523.9914027956753,0.0,523.9914027956753,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6258641963436258,0.005804359851660345
41,0.04100000000000003,489.54190130768,0.0,489.54190130768,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.646802910304,0.006059074119195977
42,0.04200000000000003,528.5936683991031,0.0,528.5936683991031,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6287667075961185,0.005787029170607858
43,0.04300000000000003,494.1466593956434,0.0,494.1466593956434,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.650068864292641,0.00604010164705506
44,0.04400000000000003,533.2008898205494,0.0,533.2008898205494,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6315574727365674,0.005769638473595962
45,0.04500000000000003,498.7563154502259,0.0,498.7563154502259,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6532116514087043,0.006021071498679459
46,0.046000000000000034,537.8129522499459,0.0,537.8129522499459,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6342386746395563,0.005752192697225834
47,0.047000000000000035,503.3707564296567,0.0,503.3707564296567,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6562337272344672,0.0060019890256971745
48,0.048000000000000036,542.4297443798866,0.0,542.4297443798866,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6368124587779032,0.005734696616670025
49,0.04900000000000004,507.9898727277415,0.0,507.9898727277415,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6591375041329846,0.005982859400306011
50,0.05000000000000004,547.0511582729938,0.0,547.0511582729938,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6392809336383114,0.005717154850236281
51,0.05100000000000004,512.6135580442602,0.0,512.6135580442602,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6619253517652446,0.005963687620394915
52,0.05200000000000004,551.677089235266,0.0,551.677089235266,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6416461711454073,0.005699571863816669
53,0.05300000000000004,517.2417092611913,0.0,517.2417092611913,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6645995976146508,0.005944478514538655
54,0.05400000000000004,556.307435695102,0.0,556.307435695102,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6439102070932659,0.005681951975224234
55,0.05500000000000004,521.8742263244573,0.0,521.8742263244573,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6671625275179323,0.005925236746867892
56,0.05600000000000004,560.942099087698,0.0,560.942099087698,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6460750415835312,0.005664299358419254
57,0.057000000000000044,526.511012130908,0.0,526.511012130908,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.66961638620164,0.005905966821816831
58,0.058000000000000045,565.5809837445498,0.0,565.5809837445498,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6481426394693133,0.0056466180476273005
59,0.059000000000000045,531.1519724202726,0.0,531.1519724202726,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.6719633778234053,0.005886673088750554
60,0.060000000000000046,570.2239967877902,0.0,570.2239967877902,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.650114930804083,0.005628911941351288
61,0.06100000000000005,535.7970156718256,0.0,535.7970156718256,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.67420566651719,0.005867359746474245
62,0.06200000000000005,574.8710480291247,0.0,574.8710480291247,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.651993811294794,0.005611184806279558
