step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility
0,1.0,0.8762500000000002,0.0,0.0012500000000000002,0.0,0.0,1.0,0.0,True,0.8750000000000002,0.0,0,0,0.0,0.0,100.0,0.0
100,101.0,67.65625000000001,0.0,0.15625000000000003,0.0,0.0,3.0,0.0,True,67.50000000000001,0.0,0,0,0.0,0.0,100.0,0.0
200,201.0,139.62125000000003,0.0,0.3712500000000001,0.0,0.0,3.0,0.0,True,139.25000000000003,0.0,1,2,1.0,0.0,100.47178748802223,1.0
300,301.0,172.75250000000003,0.0,0.6275000000000002,0.0,0.0,3.0,0.0,True,172.12500000000003,0.0,1,4,1.0,0.0,100.17638464355058,1.0
400,401.0,205.51500000000004,0.0,0.8900000000000001,0.0,0.0,3.0,0.0,True,204.62500000000003,0.0,1,15,1.0,0.0,99.96202505487113,1.0
