step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,0.9763824685614342,0.0,0.9763824685614342,0.0,0.0,7.92669286216511,0.013601318683553375,True,0.0,0.0,0.984849205729766,1.4011768511788334,0.07948053905070189
22,0.002,1.3099127751811994,0.0,1.3099127751811994,0.0,0.0,9.504567097046587,0.023383158466864066,True,0.0,0.0,0.9266208612218202,1.59546671399839,0.09369172022324838
3,0.003,1.6439607977127368,0.0,1.6439607977127368,0.0,0.0,15.695656706162767,0.001,True,0.0,0.0,0.7653682872970203,1.8708731171497,0.1619669145501775
4,0.004,5.218209673614983,0.0,5.218209673614983,0.0,0.0,22.100338916138313,0.001,True,0.0,0.0,0.40844920742228696,2.50728892335086,0.17218931468668228
5,0.005,11.223844363200106,0.0,11.223844363200106,0.0,0.0,38.37376246314964,0.001,True,0.0,0.0,0.0,3.1406886466021167,0.2558035826693586
6,0.006,40.96290904012728,0.0,40.96290904012728,0.0,0.0,64.68123214633893,0.001,True,0.0,0.0,0.0,2.9478727128046542,0.21596830285796825
7,0.007,100.87038985539759,0.0,100.87038985539759,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,3.1050189911641715,0.22530998201309407
8,0.008,232.0398744808672,0.0,232.0398744808672,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,2.4416718760829683,0.12047119284033869
9,0.009000000000000001,276.5738262784961,0.0,276.5738262784961,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.9696361689502242,0.09221298156912441
10,0.010000000000000002,587.7262337289159,0.0,587.7262337289159,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.5775996958219924,0.05365834062632743
11,0.011000000000000003,919.1188442839349,0.0,919.1188442839349,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.3688556604688815,0.03900913351893956
12,0.012000000000000004,1478.1397863069212,0.0,1478.1397863069212,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.144338746399586,0.027618750883702515
13,0.013000000000000005,1947.3961974786932,0.0,1947.3961974786932,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.052317211632652,0.023008586007167927
14,0.014000000000000005,2287.6746455215994,0.0,2287.6746455215994,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0224573436420012,0.020928434707444134
15,0.015000000000000006,2385.6243527050246,0.0,2385.6243527050246,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9824715660313618,0.020088757435156136
16,0.016000000000000007,2403.8772888554086,0.0,2403.8772888554086,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9959866070897788,0.020150198305582866
17,0.017000000000000008,2450.652736639427,0.0,2450.652736639427,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9837302671289957,0.019835721260034498
18,0.01800000000000001,2424.0949385623153,0.0,2424.0949385623153,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9829205264419377,0.019934841361606153
19,0.01900000000000001,2419.689264467437,0.0,2419.689264467437,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9861081757495628,0.01998494811000001
20,0.02000000000000001,2409.8891349179216,0.0,2409.8891349179216,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9940980795398157,0.020106111967250206
21,0.02100000000000001,2452.911987777947,0.0,2452.911987777947,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9820460084074479,0.019809818520820165
22,0.022000000000000013,2411.5378448995184,0.0,2411.5378448995184,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0005586631404462,0.020165001943979372
23,0.023000000000000013,2464.2029113881576,0.0,2464.2029113881576,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9817687433651427,0.019762067759882988
24,0.024000000000000014,2415.578069735677,0.0,2415.578069735677,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0041822508493876,0.020185208481277576
25,0.025000000000000015,2458.9561630618377,0.0,2458.9561630618377,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9867405433030375,0.019832664095964552
26,0.026000000000000016,2429.619412595947,0.0,2429.619412595947,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0011191424802843,0.020096261562619632
27,0.027000000000000017,2451.2607452242,0.0,2451.2607452242,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9949938072499932,0.019946430680680045
28,0.028000000000000018,2443.4504740470807,0.0,2443.4504740470807,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9891371214866944,0.0199189599712795
29,0.02900000000000002,2443.238568422876,0.0,2443.238568422876,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9867492831461362,0.01989580670589037
30,0.03000000000000002,2426.6038841516065,0.0,2426.6038841516065,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9895143489644062,0.019991101740521818
31,0.03100000000000002,2435.4616702263615,0.0,2435.4616702263615,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.987920304181701,0.01993901877259498
32,0.03200000000000002,2431.1173131178393,0.0,2431.1173131178393,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9879110796879677,0.01995655509704123
33,0.03300000000000002,2417.1092017818587,0.0,2417.1092017818587,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9940764270130865,0.020076141182117133
34,0.03400000000000002,2446.845374473402,0.0,2446.845374473402,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9844401182315065,0.019858111421305658
35,0.035000000000000024,2421.0182364353514,0.0,2421.0182364353514,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9926543570069016,0.020045685507458607
36,0.036000000000000025,2444.2549835774134,0.0,2444.2549835774134,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9845816559226573,0.019869946507838066
37,0.037000000000000026,2408.166073343327,0.0,2408.166073343327,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0015297330428163,0.020188872872728466
38,0.03800000000000003,2472.3579760058656,0.0,2472.3579760058656,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9810331251551021,0.019722444985675956
39,0.03900000000000003,2401.514326624292,0.0,2401.514326624292,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0189811300846268,0.02039550431774636
40,0.04000000000000003,2497.8834869569073,0.0,2497.8834869569073,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9801820460580583,0.019613985124701843
41,0.04100000000000003,2401.4994902550006,0.0,2401.4994902550006,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0201832409252432,0.02040795085601754
42,0.04200000000000003,2499.4995102450002,0.0,2499.4995102450002,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9801768394544794,0.01960765474997993
43,0.04300000000000003,2406.8512650376947,0.0,2406.8512650376947,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.008781134702527,0.020268428875996156
44,0.04400000000000003,2482.515113552275,0.0,2482.515113552275,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9808739222523772,0.019680875586445167
45,0.04500000000000003,2401.623677857083,0.0,2401.623677857083,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0177774961221147,0.020382652231808022
46,0.046000000000000034,2496.239111562196,0.0,2496.239111562196,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.980198432867502,0.019620542674655028
47,0.047000000000000035,2407.8590802543827,0.0,2407.8590802543827,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0080093875004288,0.02025633193595734
48,0.048000000000000036,2469.1923499959444,0.0,2469.1923499959444,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9829683034729612,0.019754253113083785
49,0.04900000000000004,2426.157071527268,0.0,2426.157071527268,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9914322502717372,0.020012300352659676
50,0.05000000000000004,2437.9479647930184,0.0,2437.9479647930184,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.990272967732475,0.019952644922459763
