step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,kinetic_energy,max_velocity
3300,3.3009999999997475,-33.12265902913251,0.0,10.085441411042693,0.0,0.0,5.563513755892778,0.95,True,0.0016642825704267902,-43.20976472274562,170623.3661965481,73.81622009428445
3400,3.4009999999997365,-37.53218655858079,0.0,11.712167264780865,0.0,0.0,5.9178114042674475,0.95,True,0.0019324345727273835,-49.24628625793439,198141.83076455974,79.48498246827916
3500,3.5009999999997254,-42.521241639097646,0.0,13.576217172256918,0.0,0.0,6.294731490491018,0.95,True,0.002239662003964666,-56.09969847335853,229675.16844092496,85.51570384785629
3600,3.6009999999997144,-48.16604370066901,0.0,15.710280784468166,0.0,0.0,6.695709524449855,0.95,True,0.002591340250142382,-63.87891582538729,265776.4272987606,91.93135239119768
3700,3.7009999999997034,-54.552836529543995,0.0,18.151441835366917,0.0,0.0,7.122273444580238,0.95,True,0.002993566275768365,-72.70727193118668,307072.99912449403,98.75637511328381
3800,3.8009999999996924,-61.77920667557106,0.0,20.94176212079976,0.0,0.0,7.576049368167862,0.95,True,0.0034532543913676286,-82.72442205076219,354276.50032947684,106.01678989068579
3900,3.9009999999996814,-69.95557525519328,0.0,24.128942652735258,0.0,0.0,8.058767729126394,0.95,True,0.003978244659652146,-94.08849615258819,408193.9587381163,113.74028366602231
4000,4.000999999999671,-79.20688595544469,0.0,27.767072165990673,0.0,0.0,8.572269824811398,0.95,True,0.00457742560472872,-106.97853554704011,469740.4784697746,121.95631719698237
4100,4.100999999999704,-89.67451504355091,0.0,31.91747449429273,0.0,0.0,9.118514795268878,0.95,True,0.005260873107505364,-121.59725041095116,539953.5778018846,130.69623672430205
4200,4.200999999999738,-101.51843258049348,0.0,36.64966784848691,0.0,0.0,9.699587060208241,0.95,True,0.006040007617997053,-138.17414043659835,620009.4205564908,139.99339296333187
4300,4.300999999999771,-114.91964787701302,0.0,42.042450745231974,0.0,0.0,10.317704240940635,0.95,True,0.006927772095310503,-156.96902639434026,711241.1905842565,149.88326785505018
4400,4.400999999999804,-130.08297657571364,0.0,48.18513127582973,0.0,0.0,10.975225596548539,0.95,True,0.007938833402978301,-178.27604668494632,815159.8917730165,160.40360954477663
4500,4.500999999999838,-147.2401716596042,0.0,55.17891860163382,0.0,0.0,11.674661005663204,0.95,True,0.009089810245849844,-202.42818007148384,933477.8931848471,171.59457609061127
4600,4.600999999999871,-166.65346625073408,0.0,63.138498048362585,0.0,0.0,12.418680527435066,0.95,True,0.01039953114040023,-229.80236383023714,1068135.580995001,183.49888843896107
4700,4.700999999999905,-188.61958235759732,0.0,72.19381398463219,0.0,0.0,13.210124577600357,0.95,True,0.011889326369277186,-260.8252856685988,1221331.52651159,196.16199324160573
4800,4.800999999999938,-213.47426685291975,0.0,82.49208785315147,0.0,0.0,14.05201475798645,0.95,True,0.013583358390171892,-295.97993806446135,1395556.6334246858,209.63223612778322
4900,4.900999999999971,-241.59742402319424,0.0,94.20010232496449,0.0,0.0,14.947565380370593,0.95,True,0.015508995756593874,-335.81303534391543,1593632.7883916283,223.9610460859295
