run_id,case_id,model,grid,status,fail_reasons,Omega0,OmegaT,Omega0_density,OmegaT_density,max_energy_increase,dt_min,dt_max,backtracks_total,config_hash,code_hash,notes
20251217-101648_ff927fdad91d,param_kappa_k0.3_seed2,C_only,64,PASS,,38.502661594128895,2.1611973373402813e-07,38.502661594128895,2.1611973373402813e-07,0.0,0.0009999999999995568,0.001,0,ff927fdad91d,uet_harness_v0.1,
20251217-101649_2227857186c2,param_kappa_k0.3_seed3,C_only,64,PASS,,38.45316251597424,1.0782752137451366e-07,38.45316251597424,1.0782752137451366e-07,0.0,0.0009999999999995568,0.001,0,2227857186c2,uet_harness_v0.1,
20251217-101650_cc6b7697225f,param_kappa_k0.3_seed4,C_only,64,PASS,,38.45196461777625,5.163566922572222e-08,38.45196461777625,5.163566922572222e-08,0.0,0.0009999999999995568,0.001,0,cc6b7697225f,uet_harness_v0.1,
20251217-101650_ab588b29b46e,param_kappa_k0.3_seed5,C_only,64,PASS,,37.80546529537052,1.3571199630208097e-06,37.80546529537052,1.3571199630208097e-06,0.0,0.0009999999999995568,0.001,0,ab588b29b46e,uet_harness_v0.1,
20251217-101651_a1ba77969839,param_kappa_k0.3_seed6,C_only,64,PASS,,38.862768344521946,8.383679938230849e-07,38.862768344521946,8.383679938230849e-07,0.0,0.0009999999999995568,0.001,0,a1ba77969839,uet_harness_v0.1,
20251217-101651_4cbcabcc8836,param_kappa_k0.3_seed7,C_only,64,PASS,,37.19066081683088,3.4470323065311484e-07,37.19066081683088,3.4470323065311484e-07,0.0,0.0009999999999995568,0.001,0,4cbcabcc8836,uet_harness_v0.1,
20251217-101652_855e4e7833cf,param_kappa_k0.3_seed8,C_only,64,PASS,,40.7089340367114,5.437729498206665e-11,40.7089340367114,5.437729498206665e-11,0.0,0.0009999999999995568,0.001,0,855e4e7833cf,uet_harness_v0.1,
20251217-101653_a0d72b470a49,param_kappa_k0.3_seed9,C_only,64,PASS,,39.534223588319264,1.619543167262086e-07,39.534223588319264,1.619543167262086e-07,0.0,0.0009999999999995568,0.001,0,a0d72b470a49,uet_harness_v0.1,
20251217-101653_aa188f388b44,param_kappa_k1_seed0,C_only,64,PASS,,127.02200082712432,3.9152720175788566e-07,127.02200082712432,3.9152720175788566e-07,0.0,0.0009999999999995568,0.001,0,aa188f388b44,uet_harness_v0.1,
20251217-101654_13bcbdd2b6e9,param_kappa_k1_seed1,C_only,64,PASS,,128.99088335896107,5.832010850473033e-08,128.99088335896107,5.832010850473033e-08,0.0,0.0009999999999995568,0.001,0,13bcbdd2b6e9,uet_harness_v0.1,
