run_id,case_id,model,grid,status,fail_reasons,Omega0,OmegaT,Omega0_density,OmegaT_density,max_energy_increase,dt_min,dt_max,backtracks_total,config_hash,code_hash,notes
20251217-101754_ec12fd4f3e0f,param_M_M0.3_seed3,C_only,64,PASS,,128.16531564914743,2.4999397067535317e-07,128.16531564914743,2.4999397067535317e-07,0.0,0.0009999999999995568,0.001,0,ec12fd4f3e0f,uet_harness_v0.1,
20251217-101755_27bad4c90c5f,param_M_M0.3_seed4,C_only,64,PASS,,128.16146808357848,1.19692552169446e-07,128.16146808357848,1.19692552169446e-07,0.0,0.0009999999999995568,0.001,0,27bad4c90c5f,uet_harness_v0.1,
20251217-101756_ddedafcdbe35,param_M_M0.3_seed5,C_only,64,PASS,,126.00640972833084,3.145443936444861e-06,126.00640972833084,3.145443936444861e-06,0.0,0.0009999999999995568,0.001,0,ddedafcdbe35,uet_harness_v0.1,
20251217-101756_18e5102112bd,param_M_M0.3_seed6,C_only,64,PASS,,129.53063328104585,1.943159659686399e-06,129.53063328104585,1.943159659686399e-06,0.0,0.0009999999999995568,0.001,0,18e5102112bd,uet_harness_v0.1,
20251217-101757_3ed35507f4be,param_M_M0.3_seed7,C_only,64,PASS,,123.95726336654776,7.989759585919965e-07,123.95726336654776,7.989759585919965e-07,0.0,0.0009999999999995568,0.001,0,3ed35507f4be,uet_harness_v0.1,
20251217-101758_e500a0ffaab0,param_M_M0.3_seed8,C_only,64,PASS,,135.68414006786318,2.2167329654052648e-10,135.68414006786318,2.2167329654052648e-10,0.0,0.0009999999999995568,0.001,0,e500a0ffaab0,uet_harness_v0.1,
20251217-101758_61c8e8410195,param_M_M0.3_seed9,C_only,64,PASS,,131.768535161193,3.754576768080637e-07,131.768535161193,3.754576768080637e-07,0.0,0.0009999999999995568,0.001,0,61c8e8410195,uet_harness_v0.1,
20251217-101759_437ee7ecc925,param_M_M1_seed0,C_only,64,PASS,,127.02200082712432,3.9152720175788566e-07,127.02200082712432,3.9152720175788566e-07,0.0,0.0009999999999995568,0.001,0,437ee7ecc925,uet_harness_v0.1,
20251217-101800_079834e69eff,param_M_M1_seed1,C_only,64,PASS,,128.99088335896107,5.832010850473033e-08,128.99088335896107,5.832010850473033e-08,0.0,0.0009999999999995568,0.001,0,079834e69eff,uet_harness_v0.1,
20251217-101800_7d2adf94cc7e,param_M_M1_seed2,C_only,64,PASS,,128.33032255605872,2.1609513837632385e-07,128.33032255605872,2.1609513837632385e-07,0.0,0.0009999999999995568,0.001,0,7d2adf94cc7e,uet_harness_v0.1,
20251217-101801_3d853a68eadd,param_M_M1_seed3,C_only,64,PASS,,128.16531564914743,1.0780922233417906e-07,128.16531564914743,1.0780922233417906e-07,0.0,0.0009999999999995568,0.001,0,3d853a68eadd,uet_harness_v0.1,
20251217-101802_8e58b01e3215,param_M_M1_seed4,C_only,64,PASS,,128.16146808357848,5.162802120372462e-08,128.16146808357848,5.162802120372462e-08,0.0,0.0009999999999995568,0.001,0,8e58b01e3215,uet_harness_v0.1,
20251217-101802_4699d55db73b,param_M_M1_seed5,C_only,64,PASS,,126.00640972833084,1.357128077878919e-06,126.00640972833084,1.357128077878919e-06,0.0,0.0009999999999995568,0.001,0,4699d55db73b,uet_harness_v0.1,
20251217-101803_bf426119c8ae,param_M_M1_seed6,C_only,64,PASS,,129.53063328104585,8.383714807053735e-07,129.53063328104585,8.383714807053735e-07,0.0,0.0009999999999995568,0.001,0,bf426119c8ae,uet_harness_v0.1,
20251217-101804_e9b417f6da05,param_M_M1_seed7,C_only,64,PASS,,123.95726336654776,3.4468891528874255e-07,123.95726336654776,3.4468891528874255e-07,0.0,0.0009999999999995568,0.001,0,e9b417f6da05,uet_harness_v0.1,
20251217-101805_4771c1ff51f2,param_M_M1_seed8,C_only,64,PASS,,135.68414006786318,3.5171870617060904e-11,135.68414006786318,3.5171870617060904e-11,0.0,0.0009999999999995568,0.001,0,4771c1ff51f2,uet_harness_v0.1,
20251217-101805_c691ef11360f,param_M_M1_seed9,C_only,64,PASS,,131.768535161193,1.6193760431869297e-07,131.768535161193,1.6193760431869297e-07,0.0,0.0009999999999995568,0.001,0,c691ef11360f,uet_harness_v0.1,
