step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent
0,1.0,0.5012500000000001,0.0,0.0012500000000000002,0.0,0.0,1.0,0.0,True,0.5000000000000001,0.0,0,0,0.0,0.0
1,2.0,1.3775000000000002,0.0,0.0025000000000000005,0.0,0.0,1.0,0.0,True,1.3750000000000002,0.0,0,0,0.0,0.0
2,3.0,1.8787500000000004,0.0,0.0037500000000000007,0.0,0.0,1.0,0.0,True,1.8750000000000004,0.0,0,0,0.0,0.0
3,4.0,2.3800000000000003,0.0,0.005000000000000001,0.0,0.0,1.0,0.0,True,2.3750000000000004,0.0,0,0,0.0,0.0
4,5.0,3.2562500000000005,0.0,0.006250000000000001,0.0,0.0,1.0,0.0,True,3.2500000000000004,0.0,0,0,0.0,0.0
5,6.0,3.7575000000000007,0.0,0.0075000000000000015,0.0,0.0,1.0,0.0,True,3.750000000000001,0.0,0,0,0.0,0.0
6,7.0,4.633750000000001,0.0,0.00875,0.0,0.0,1.0,0.0,True,4.625000000000001,0.0,0,0,0.0,0.0
7,8.0,5.510000000000001,0.0,0.010000000000000002,0.0,0.0,1.0,0.0,True,5.500000000000001,0.0,0,0,0.0,0.0
8,9.0,6.761250000000001,0.0,0.011250000000000003,0.0,0.0,1.0,0.0,True,6.750000000000001,0.0,0,0,0.0,0.0
9,10.0,7.262500000000001,0.0,0.012500000000000002,0.0,0.0,1.0,0.0,True,7.250000000000002,0.0,0,0,0.0,0.0
10,11.0,7.763750000000002,0.0,0.013750000000000002,0.0,0.0,1.0,0.0,True,7.750000000000002,0.0,0,0,0.0,0.0
11,12.0,8.640000000000002,0.0,0.015000000000000003,0.0,0.0,1.0,0.0,True,8.625000000000002,0.0,0,0,0.0,0.0
12,13.0,9.516250000000001,0.0,0.016250000000000004,0.0,0.0,1.0,0.0,True,9.500000000000002,0.0,0,0,0.0,0.0
13,14.0,10.392500000000002,0.0,0.0175,0.0,0.0,1.0,0.0,True,10.375000000000002,0.0,0,0,0.0,0.0
14,15.0,11.268750000000002,0.0,0.018750000000000003,0.0,0.0,1.0,0.0,True,11.250000000000002,0.0,0,0,0.0,0.0
15,16.0,11.770000000000003,0.0,0.020000000000000004,0.0,0.0,1.0,0.0,True,11.750000000000002,0.0,0,0,0.0,0.0
16,17.0,12.271250000000002,0.0,0.021250000000000005,0.0,0.0,1.0,0.0,True,12.250000000000002,0.0,0,0,0.0,0.0
17,18.0,12.772500000000003,0.0,0.022500000000000006,0.0,0.0,1.0,0.0,True,12.750000000000002,0.0,0,0,0.0,0.0
18,19.0,13.648750000000003,0.0,0.023750000000000004,0.0,0.0,1.0,0.0,True,13.625000000000002,0.0,0,0,0.0,0.0
19,20.0,14.150000000000002,0.0,0.025000000000000005,0.0,0.0,1.0,0.0,True,14.125000000000004,0.0,0,0,0.0,0.0
20,21.0,14.776250000000003,0.0,0.026250000000000006,0.0,0.0,1.0,0.0,True,14.750000000000004,0.0,0,0,0.0,0.0
21,22.0,15.277500000000003,0.0,0.027500000000000004,0.0,0.0,1.0,0.0,True,15.250000000000004,0.0,0,0,0.0,0.0
22,23.0,15.778750000000002,0.0,0.028750000000000005,0.0,0.0,1.0,0.0,True,15.750000000000004,0.0,0,0,0.0,0.0
23,24.0,16.405000000000005,0.0,0.030000000000000006,0.0,0.0,1.0,0.0,True,16.375000000000004,0.0,0,0,0.0,0.0
24,25.0,17.031250000000004,0.0,0.03125000000000001,0.0,0.0,1.0,0.0,True,17.000000000000004,0.0,0,0,0.0,0.0
25,26.0,17.282500000000002,0.0,0.03250000000000001,0.0,0.0,1.0,0.0,True,17.250000000000004,0.0,0,0,0.0,0.0
26,27.0,18.158750000000005,0.0,0.03375000000000001,0.0,0.0,1.0,0.0,True,18.125000000000004,0.0,0,0,0.0,0.0
27,28.0,18.660000000000004,0.0,0.035,0.0,0.0,1.0,0.0,True,18.625000000000004,0.0,0,0,0.0,0.0
28,29.0,19.161250000000003,0.0,0.036250000000000004,0.0,0.0,1.0,0.0,True,19.125000000000004,0.0,0,0,0.0,0.0
29,30.0,19.662500000000005,0.0,0.037500000000000006,0.0,0.0,1.0,0.0,True,19.625000000000004,0.0,0,0,0.0,0.0
30,31.0,20.538750000000004,0.0,0.03875000000000001,0.0,0.0,1.0,0.0,True,20.500000000000004,0.0,0,0,0.0,0.0
31,32.0,20.915000000000003,0.0,0.04000000000000001,0.0,0.0,1.0,0.0,True,20.875000000000004,0.0,0,0,0.0,0.0
32,33.0,21.416250000000005,0.0,0.04125000000000001,0.0,0.0,1.0,0.0,True,21.375000000000004,0.0,0,0,0.0,0.0
33,34.0,22.667500000000004,0.0,0.04250000000000001,0.0,0.0,1.0,0.0,True,22.625000000000004,0.0,0,0,0.0,0.0
34,35.0,22.918750000000003,0.0,0.04375000000000001,0.0,0.0,1.0,0.0,True,22.875000000000004,0.0,0,0,0.0,0.0
35,36.0,24.422500000000003,0.0,0.04750000000000001,0.0,0.0,2.0,0.0,True,24.375000000000004,0.0,0,0,0.0,0.0
36,37.0,24.923750000000005,0.0,0.04875000000000001,0.0,0.0,2.0,0.0,True,24.875000000000004,0.0,0,0,0.0,0.0
37,38.0,25.800000000000004,0.0,0.05000000000000001,0.0,0.0,2.0,0.0,True,25.750000000000004,0.0,0,0,0.0,0.0
38,39.0,26.051250000000007,0.0,0.05125000000000001,0.0,0.0,2.0,0.0,True,26.000000000000004,0.0,0,0,0.0,0.0
39,40.0,26.927500000000006,0.0,0.05250000000000001,0.0,0.0,2.0,0.0,True,26.875000000000004,0.0,0,0,0.0,0.0
40,41.0,27.428750000000004,0.0,0.05375000000000001,0.0,0.0,2.0,0.0,True,27.375000000000004,0.0,0,0,0.0,0.0
41,42.0,28.305000000000007,0.0,0.05500000000000001,0.0,0.0,2.0,0.0,True,28.250000000000007,0.0,0,0,0.0,0.0
42,43.0,28.806250000000006,0.0,0.05625000000000001,0.0,0.0,2.0,0.0,True,28.750000000000007,0.0,0,0,0.0,0.0
43,44.0,30.060000000000006,0.0,0.06000000000000001,0.0,0.0,2.0,0.0,True,30.000000000000007,0.0,0,0,0.0,0.0
44,45.0,31.563750000000006,0.0,0.06375000000000001,0.0,0.0,2.0,0.0,True,31.500000000000007,0.0,0,0,0.0,0.0
45,46.0,32.065000000000005,0.0,0.06500000000000002,0.0,0.0,2.0,0.0,True,32.00000000000001,0.0,0,0,0.0,0.0
46,47.0,32.566250000000004,0.0,0.06625000000000002,0.0,0.0,2.0,0.0,True,32.50000000000001,0.0,0,0,0.0,0.0
47,48.0,32.81750000000001,0.0,0.06750000000000002,0.0,0.0,2.0,0.0,True,32.75000000000001,0.0,0,0,0.0,0.0
48,49.0,33.31875000000001,0.0,0.06875000000000002,0.0,0.0,2.0,0.0,True,33.25000000000001,0.0,0,0,0.0,0.0
49,50.0,33.82000000000001,0.0,0.07,0.0,0.0,2.0,0.0,True,33.75000000000001,0.0,0,0,0.0,0.0
50,51.0,36.198750000000004,0.0,0.07375000000000001,0.0,0.0,2.0,0.0,True,36.12500000000001,0.0,0,0,0.0,0.0
51,52.0,36.20000000000001,0.0,0.07500000000000001,0.0,0.0,2.0,0.0,True,36.12500000000001,0.0,0,0,0.0,0.0
52,53.0,36.07625000000001,0.0,0.07625000000000001,0.0,0.0,2.0,0.0,True,36.00000000000001,0.0,0,0,0.0,0.0
53,54.0,36.95250000000001,0.0,0.07750000000000001,0.0,0.0,2.0,0.0,True,36.87500000000001,0.0,0,0,0.0,0.0
54,55.0,36.95375000000001,0.0,0.07875000000000001,0.0,0.0,2.0,0.0,True,36.87500000000001,0.0,0,0,0.0,0.0
55,56.0,37.830000000000005,0.0,0.08000000000000002,0.0,0.0,2.0,0.0,True,37.75000000000001,0.0,0,0,0.0,0.0
56,57.0,38.331250000000004,0.0,0.08125000000000002,0.0,0.0,2.0,0.0,True,38.25000000000001,0.0,0,0,0.0,0.0
57,58.0,38.58250000000001,0.0,0.08250000000000002,0.0,0.0,2.0,0.0,True,38.50000000000001,0.0,0,0,0.0,0.0
58,59.0,39.08375000000001,0.0,0.08375000000000002,0.0,0.0,2.0,0.0,True,39.00000000000001,0.0,0,0,0.0,0.0
59,60.0,39.58500000000001,0.0,0.08500000000000002,0.0,0.0,2.0,0.0,True,39.50000000000001,0.0,0,0,0.0,0.0
60,61.0,39.83625000000001,0.0,0.08625000000000002,0.0,0.0,2.0,0.0,True,39.75000000000001,0.0,0,0,0.0,0.0
61,62.0,40.462500000000006,0.0,0.08750000000000002,0.0,0.0,2.0,0.0,True,40.37500000000001,0.0,0,0,0.0,0.0
62,63.0,40.963750000000005,0.0,0.08875000000000002,0.0,0.0,2.0,0.0,True,40.87500000000001,0.0,0,0,0.0,0.0
63,64.0,41.21500000000001,0.0,0.09000000000000002,0.0,0.0,2.0,0.0,True,41.12500000000001,0.0,0,0,0.0,0.0
64,65.0,41.84125000000001,0.0,0.09125000000000001,0.0,0.0,2.0,0.0,True,41.75000000000001,0.0,0,0,0.0,0.0
65,66.0,42.34250000000001,0.0,0.09250000000000001,0.0,0.0,2.0,0.0,True,42.25000000000001,0.0,0,0,0.0,0.0
66,67.0,42.84375000000001,0.0,0.09375000000000001,0.0,0.0,2.0,0.0,True,42.75000000000001,0.0,0,0,0.0,0.0
67,68.0,43.720000000000006,0.0,0.09500000000000001,0.0,0.0,2.0,0.0,True,43.62500000000001,0.0,0,0,0.0,0.0
68,69.0,44.97125000000001,0.0,0.09625000000000002,0.0,0.0,2.0,0.0,True,44.87500000000001,0.0,0,0,0.0,0.0
69,70.0,45.47250000000001,0.0,0.09750000000000002,0.0,0.0,2.0,0.0,True,45.37500000000001,0.0,0,0,0.0,0.0
70,71.0,45.97375000000001,0.0,0.09875000000000002,0.0,0.0,2.0,0.0,True,45.87500000000001,0.0,0,0,0.0,0.0
71,72.0,45.85000000000001,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,True,45.75000000000001,0.0,0,0,0.0,0.0
