step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,order_parameter,domain_count
0,0.01,-0.4999393037896606,0.0,-0.49994187407249363,0.0,0.0,0.007883320461893398,-0.009355866050226157,True,2.57028283298438e-06,0.0,0.0022436080339394713,509
10,0.10999999999999999,-0.5336318949016501,0.0,-0.5520719387042194,0.0,0.0,0.7767150907767895,-0.8828437546552764,True,0.018440043802569393,0.0,0.26767522163216745,372
20,0.21000000000000005,-0.6923350972562997,0.0,-0.7577808455079051,0.0,0.0,0.9677201021181913,-0.9708719797235694,True,0.06544574825160546,0.0,0.6718047386190517,275
30,0.3100000000000001,-0.7480442657870736,0.0,-0.8077135131195612,0.0,0.0,1.049475337445566,-1.0507187429743912,True,0.05966924733248759,0.0,0.7435347204415148,252
40,0.4100000000000002,-0.7278063880371468,0.0,-0.7897430790697292,0.0,0.0,1.2111367103791604,-1.2093397469247915,True,0.061936691032582425,0.0,0.7142998276761963,252
