step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,order_parameter,domain_count
0,0.01,-0.49966791542696204,0.0,-0.49967042173467313,0.0,0.0,0.007803312091846395,-0.006777367897200735,True,2.506307711079996e-06,0.0,0.0021751925505961627,526
10,0.10999999999999999,-0.5341594971340274,0.0,-0.5458589663895417,0.0,0.0,0.5640650578271087,-0.7029085808460573,True,0.011699469255514084,0.0,0.23051624153917583,382
20,0.21000000000000005,-0.6731335505370643,0.0,-0.7370092345051045,0.0,0.0,0.9228794351679582,-1.0245428265895162,True,0.06387568396804022,0.0,0.6257733947896889,317
30,0.3100000000000001,-0.7298391873599333,0.0,-0.7884442719917235,0.0,0.0,1.001956833567247,-1.2550927274168846,True,0.05860508463179022,0.0,0.7018424012619257,252
40,0.4100000000000002,-0.760066454417675,0.0,-0.8177751844053589,0.0,0.0,1.2297833304691086,-1.2470266563738148,True,0.05770872998768395,0.0,0.7392386998771979,225
