Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2010-01-04,10583.9599609375,10604.9697265625,10430.6904296875,10430.6904296875,179780000
2010-01-05,10572.01953125,10584.5595703125,10522.51953125,10584.5595703125,188540000
2010-01-06,10573.6796875,10594.990234375,10546.5498046875,10564.7197265625,186040000
2010-01-07,10606.8603515625,10612.3701171875,10505.2099609375,10571.1103515625,217390000
2010-01-08,10618.1904296875,10619.400390625,10554.330078125,10606.400390625,172710000
2010-01-11,10663.990234375,10676.23046875,10591.58984375,10620.3095703125,182050000
2010-01-12,10627.259765625,10663.080078125,10568.83984375,10662.8603515625,256050000
2010-01-13,10680.76953125,10709.259765625,10614.490234375,10628.08984375,202810000
2010-01-14,10710.5498046875,10723.76953125,10666.8603515625,10680.16015625,201320000
2010-01-15,10609.650390625,10709.9404296875,10561.0595703125,10706.990234375,362930000
2010-01-19,10725.4296875,10729.8896484375,10591.9697265625,10608.3701171875,192150000
2010-01-20,10603.150390625,10719.919921875,10517.2998046875,10719.6904296875,203270000
2010-01-21,10389.8798828125,10614.9404296875,10374.6904296875,10603.91015625,304290000
2010-01-22,10172.98046875,10389.580078125,10157.6396484375,10389.580078125,323620000
2010-01-25,10196.8603515625,10256.8701171875,10171.76953125,10175.099609375,215330000
2010-01-26,10194.2900390625,10285.1298828125,10155.599609375,10195.349609375,217300000
2010-01-27,10236.16015625,10255.0595703125,10104.3603515625,10194.2900390625,262170000
2010-01-28,10120.4599609375,10258.830078125,10055.080078125,10236.919921875,240050000
2010-01-29,10067.330078125,10239.33984375,10043.75,10122.0400390625,316900000
2010-02-01,10185.5302734375,10190.8896484375,10068.91015625,10068.990234375,198430000
2010-02-02,10296.849609375,10314.83984375,10173.58984375,10186.1298828125,237140000
2010-02-03,10270.5498046875,10307.2001953125,10231.9296875,10291.73046875,198940000
2010-02-04,10002.1796875,10273.1201171875,9998.0302734375,10273.1201171875,304240000
2010-02-05,10012.23046875,10031.9599609375,9835.08984375,10003.6904296875,308320000
2010-02-08,9908.3896484375,10028.5595703125,9904.08984375,10005.4296875,216270000
2010-02-09,10058.6396484375,10139.4296875,9910.0595703125,9910.2802734375,236210000
2010-02-10,10038.3798828125,10085.5400390625,9962.9599609375,10055.4599609375,178600000
2010-02-11,10144.1904296875,10161.5703125,9976.7099609375,10037.849609375,194470000
2010-02-12,10099.1396484375,10137.3896484375,9983.8203125,10137.23046875,296510000
2010-02-16,10268.8095703125,10279.5400390625,10100.8095703125,10100.8095703125,234900000
2010-02-17,10309.240234375,10320.1298828125,10261.48046875,10261.48046875,193270000
2010-02-18,10392.900390625,10406.580078125,10294.509765625,10309.3896484375,185310000
2010-02-19,10402.349609375,10438.5498046875,10339.169921875,10387.76953125,241750000
2010-02-22,10383.3798828125,10433.6396484375,10368.9501953125,10402.4296875,158440000
2010-02-23,10282.41015625,10411.1201171875,10267.830078125,10383.16015625,190740000
2010-02-24,10374.16015625,10393.509765625,10283.9296875,10284.0,181450000
2010-02-25,10321.0302734375,10366.6796875,10185.830078125,10366.599609375,242550000
2010-02-26,10325.259765625,10353.4501953125,10272.2900390625,10321.41015625,282120000
2010-03-01,10403.7900390625,10413.990234375,10326.099609375,10326.099609375,173750000
2010-03-02,10405.98046875,10456.919921875,10389.4296875,10404.16015625,217180000
2010-03-03,10396.759765625,10469.5400390625,10376.580078125,10406.2802734375,183290000
2010-03-04,10444.1396484375,10452.3798828125,10390.8603515625,10396.5302734375,165740000
2010-03-05,10566.2001953125,10571.9404296875,10445.0498046875,10445.1298828125,184270000
2010-03-08,10552.51953125,10587.740234375,10542.3896484375,10563.7802734375,171780000
2010-03-09,10564.3798828125,10612.599609375,10533.9296875,10552.240234375,219860000
2010-03-10,10567.330078125,10601.7900390625,10526.51953125,10560.1298828125,186570000
2010-03-11,10611.83984375,10611.83984375,10507.169921875,10560.98046875,150000000
2010-03-12,10624.6904296875,10644.9501953125,10594.83984375,10611.76953125,166140000
2010-03-15,10642.150390625,10644.1904296875,10570.509765625,10623.41015625,160570000
2010-03-16,10685.98046875,10693.990234375,10621.900390625,10642.5302734375,227410000
2010-03-17,10733.669921875,10767.98046875,10686.3603515625,10686.3603515625,194190000
2010-03-18,10779.169921875,10784.0,10728.150390625,10733.4404296875,153280000
2010-03-19,10741.98046875,10819.900390625,10694.2197265625,10780.0,434190000
2010-03-22,10785.8896484375,10809.849609375,10695.1298828125,10741.0,157200000
2010-03-23,10888.830078125,10893.8896484375,10784.759765625,10787.1796875,189140000
2010-03-24,10836.150390625,10887.83984375,10825.419921875,10887.6201171875,195570000
2010-03-25,10841.2099609375,10955.48046875,10834.1904296875,10837.509765625,200330000
2010-03-26,10850.3603515625,10909.3798828125,10816.4296875,10841.2900390625,175490000
2010-03-29,10895.8603515625,10916.6396484375,10849.23046875,10849.23046875,136710000
2010-03-30,10907.419921875,10940.2197265625,10866.830078125,10895.01953125,148810000
2010-03-31,10856.6298828125,10907.419921875,10832.830078125,10907.33984375,197060000
2010-04-01,10927.0703125,10956.3896484375,10857.3095703125,10857.3095703125,159520000
2010-04-05,10973.5498046875,10988.0595703125,10923.9697265625,10927.4501953125,139480000
2010-04-06,10969.990234375,10987.3798828125,10927.51953125,10972.490234375,159960000
2010-04-07,10897.51953125,10962.66015625,10845.4501953125,10961.9501953125,187000000
2010-04-08,10927.0703125,10949.3603515625,10844.08984375,10896.990234375,158930000
