step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,kinetic_energy,max_velocity
0,0.001,0.0010578771469750016,0.0,7.813268000000013e-05,0.0,0.0,1.05,0.95,True,0.0009847448576000015,-5.000390625000001e-06,5.120536870912009,0.40002097097027334
100,0.10100000000000008,5.3244261497295206e-05,0.0,9.556658204181774e-05,0.0,0.0,1.05,0.95,True,0.000462730410379387,-0.0005050527309239094,4.72648764665349,0.40009774729574055
200,0.20100000000000015,-0.0005293579919194002,0.0,0.00010904544494409055,0.0,0.0,1.05,0.95,True,0.0003667561185928534,-0.001005159555456344,4.226302876836721,0.4003766066651604
300,0.3010000000000002,-0.001059618383039957,0.0,0.00011821559224226946,0.0,0.0,1.05,0.95,True,0.0003275220098028263,-0.0015053559850850525,3.9036256713892588,0.4008193414129817
400,0.4010000000000003,-0.001574490087236801,0.0,0.0001248906147147498,0.0,0.0,1.05,0.95,True,0.00030629314370221117,-0.0020056738456537618,3.690558714432272,0.4014103598171701
500,0.5010000000000003,-0.0020830514399151553,0.0,0.00012995669699049483,0.0,0.0,1.05,0.95,True,0.0002931333118024345,-0.0025061414487080845,3.542355472633815,0.4021355581430299
600,0.6010000000000004,-0.0025885671221345823,0.0,0.00013391578752532424,0.0,0.0,1.05,0.95,True,0.0002843008427514114,-0.003006783752411318,3.434956670273075,0.4029821786391192
700,0.7010000000000005,-0.0030924802329299486,0.0,0.00013708385150921473,0.0,0.0,1.05,0.95,True,0.00027805859266579185,-0.0035076226771049556,3.3547199382233392,0.4039386810850889
800,0.8010000000000006,-0.003595517220345465,0.0,0.00013967422414174683,0.0,0.0,1.05,0.95,True,0.000273485991956507,-0.004008677436443718,3.293390620357537,0.40499462659822427
900,0.9010000000000007,-0.0040980781182453924,0.0,0.00014183816547935744,0.0,0.0,1.05,0.95,True,0.0002700485654074942,-0.0045099648491322445,3.24569174831899,0.4061405725287255
