step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent
0,1.0,0.5012500000000001,0.0,0.0012500000000000002,0.0,0.0,1.0,0.0,True,0.5000000000000001,0.0,0,0,0.0,0.0
1,2.0,1.3775000000000002,0.0,0.0025000000000000005,0.0,0.0,1.0,0.0,True,1.3750000000000002,0.0,0,0,0.0,0.0
2,3.0,1.8787500000000004,0.0,0.0037500000000000007,0.0,0.0,1.0,0.0,True,1.8750000000000004,0.0,0,0,0.0,0.0
3,4.0,2.3800000000000003,0.0,0.005000000000000001,0.0,0.0,1.0,0.0,True,2.3750000000000004,0.0,0,0,0.0,0.0
4,5.0,2.8812500000000005,0.0,0.006250000000000001,0.0,0.0,1.0,0.0,True,2.8750000000000004,0.0,0,0,0.0,0.0
5,6.0,3.7575000000000007,0.0,0.0075000000000000015,0.0,0.0,1.0,0.0,True,3.750000000000001,0.0,0,0,0.0,0.0
6,7.0,4.258750000000001,0.0,0.00875,0.0,0.0,1.0,0.0,True,4.250000000000001,0.0,0,0,0.0,0.0
7,8.0,5.135000000000001,0.0,0.010000000000000002,0.0,0.0,1.0,0.0,True,5.125000000000001,0.0,0,0,0.0,0.0
8,9.0,6.011250000000001,0.0,0.011250000000000003,0.0,0.0,1.0,0.0,True,6.000000000000001,0.0,0,0,0.0,0.0
9,10.0,6.887500000000001,0.0,0.012500000000000002,0.0,0.0,1.0,0.0,True,6.875000000000002,0.0,0,0,0.0,0.0
10,11.0,7.763750000000002,0.0,0.013750000000000002,0.0,0.0,1.0,0.0,True,7.750000000000002,0.0,0,0,0.0,0.0
11,12.0,8.265000000000002,0.0,0.015000000000000003,0.0,0.0,1.0,0.0,True,8.250000000000002,0.0,0,0,0.0,0.0
12,13.0,8.766250000000001,0.0,0.016250000000000004,0.0,0.0,1.0,0.0,True,8.750000000000002,0.0,0,0,0.0,0.0
13,14.0,9.642500000000002,0.0,0.0175,0.0,0.0,1.0,0.0,True,9.625000000000002,0.0,0,0,0.0,0.0
14,15.0,10.518750000000002,0.0,0.018750000000000003,0.0,0.0,1.0,0.0,True,10.500000000000002,0.0,0,0,0.0,0.0
15,16.0,11.395000000000001,0.0,0.020000000000000004,0.0,0.0,1.0,0.0,True,11.375000000000002,0.0,0,0,0.0,0.0
16,17.0,11.896250000000002,0.0,0.021250000000000005,0.0,0.0,1.0,0.0,True,11.875000000000002,0.0,0,0,0.0,0.0
17,18.0,12.397500000000003,0.0,0.022500000000000006,0.0,0.0,1.0,0.0,True,12.375000000000002,0.0,0,0,0.0,0.0
18,19.0,12.648750000000003,0.0,0.023750000000000004,0.0,0.0,1.0,0.0,True,12.625000000000002,0.0,0,0,0.0,0.0
19,20.0,13.275000000000002,0.0,0.025000000000000005,0.0,0.0,1.0,0.0,True,13.250000000000002,0.0,0,0,0.0,0.0
20,21.0,15.903750000000002,0.0,0.028750000000000005,0.0,0.0,2.0,0.0,True,15.875000000000004,0.0,0,0,0.0,0.0
21,22.0,16.780000000000005,0.0,0.030000000000000006,0.0,0.0,2.0,0.0,True,16.750000000000004,0.0,0,0,0.0,0.0
22,23.0,17.281250000000004,0.0,0.03125000000000001,0.0,0.0,2.0,0.0,True,17.250000000000004,0.0,0,0,0.0,0.0
23,24.0,17.782500000000002,0.0,0.03250000000000001,0.0,0.0,2.0,0.0,True,17.750000000000004,0.0,0,0,0.0,0.0
24,25.0,18.283750000000005,0.0,0.03375000000000001,0.0,0.0,2.0,0.0,True,18.250000000000004,0.0,0,0,0.0,0.0
25,26.0,18.910000000000004,0.0,0.035,0.0,0.0,2.0,0.0,True,18.875000000000004,0.0,0,0,0.0,0.0
26,27.0,19.161250000000003,0.0,0.036250000000000004,0.0,0.0,2.0,0.0,True,19.125000000000004,0.0,0,0,0.0,0.0
27,28.0,19.662500000000005,0.0,0.037500000000000006,0.0,0.0,2.0,0.0,True,19.625000000000004,0.0,0,0,0.0,0.0
28,29.0,20.538750000000004,0.0,0.03875000000000001,0.0,0.0,2.0,0.0,True,20.500000000000004,0.0,0,0,0.0,0.0
29,30.0,21.415000000000003,0.0,0.04000000000000001,0.0,0.0,2.0,0.0,True,21.375000000000004,0.0,0,0,0.0,0.0
30,31.0,21.916250000000005,0.0,0.04125000000000001,0.0,0.0,2.0,0.0,True,21.875000000000004,0.0,0,0,0.0,0.0
31,32.0,22.792500000000004,0.0,0.04250000000000001,0.0,0.0,2.0,0.0,True,22.750000000000004,0.0,0,0,0.0,0.0
32,33.0,23.668750000000003,0.0,0.04375000000000001,0.0,0.0,2.0,0.0,True,23.625000000000004,0.0,0,0,0.0,0.0
33,34.0,24.170000000000005,0.0,0.04500000000000001,0.0,0.0,2.0,0.0,True,24.125000000000004,0.0,0,0,0.0,0.0
34,35.0,25.673750000000005,0.0,0.04875000000000001,0.0,0.0,2.0,0.0,True,25.625000000000004,0.0,0,0,0.0,0.0
35,36.0,25.925000000000004,0.0,0.05000000000000001,0.0,0.0,2.0,0.0,True,25.875000000000004,0.0,0,0,0.0,0.0
36,37.0,26.426250000000007,0.0,0.05125000000000001,0.0,0.0,2.0,0.0,True,26.375000000000004,0.0,0,0,0.0,0.0
37,38.0,26.927500000000006,0.0,0.05250000000000001,0.0,0.0,2.0,0.0,True,26.875000000000004,0.0,0,0,0.0,0.0
38,39.0,27.803750000000004,0.0,0.05375000000000001,0.0,0.0,2.0,0.0,True,27.750000000000007,0.0,0,0,0.0,0.0
39,40.0,29.055000000000007,0.0,0.05500000000000001,0.0,0.0,2.0,0.0,True,29.000000000000007,0.0,0,0,0.0,0.0
40,41.0,29.556250000000006,0.0,0.05625000000000001,0.0,0.0,2.0,0.0,True,29.500000000000007,0.0,0,0,0.0,0.0
41,42.0,30.057500000000005,0.0,0.05750000000000001,0.0,0.0,2.0,0.0,True,30.000000000000007,0.0,0,0,0.0,0.0
42,43.0,32.43625000000001,0.0,0.06125000000000001,0.0,0.0,2.0,0.0,True,32.37500000000001,0.0,0,0,0.0,0.0
43,44.0,33.31250000000001,0.0,0.06250000000000001,0.0,0.0,2.0,0.0,True,33.25000000000001,0.0,0,0,0.0,0.0
44,45.0,33.813750000000006,0.0,0.06375000000000001,0.0,0.0,2.0,0.0,True,33.75000000000001,0.0,0,0,0.0,0.0
45,46.0,34.690000000000005,0.0,0.06500000000000002,0.0,0.0,2.0,0.0,True,34.62500000000001,0.0,0,0,0.0,0.0
46,47.0,35.566250000000004,0.0,0.06625000000000002,0.0,0.0,2.0,0.0,True,35.50000000000001,0.0,0,0,0.0,0.0
47,48.0,35.81750000000001,0.0,0.06750000000000002,0.0,0.0,2.0,0.0,True,35.75000000000001,0.0,0,0,0.0,0.0
48,49.0,39.571250000000006,0.0,0.07125000000000001,0.0,0.0,2.0,0.0,True,39.50000000000001,0.0,0,0,0.0,0.0
49,50.0,40.072500000000005,0.0,0.07250000000000001,0.0,0.0,2.0,0.0,True,40.00000000000001,0.0,0,0,0.0,0.0
50,51.0,40.57375000000001,0.0,0.07375000000000001,0.0,0.0,2.0,0.0,True,40.50000000000001,0.0,0,0,0.0,0.0
51,52.0,42.07750000000001,0.0,0.07750000000000001,0.0,0.0,2.0,0.0,True,42.00000000000001,0.0,0,0,0.0,0.0
52,53.0,42.07875000000001,0.0,0.07875000000000001,0.0,0.0,2.0,0.0,True,42.00000000000001,0.0,0,0,0.0,0.0
53,54.0,42.580000000000005,0.0,0.08000000000000002,0.0,0.0,2.0,0.0,True,42.50000000000001,0.0,0,0,0.0,0.0
54,55.0,43.08125000000001,0.0,0.08125000000000002,0.0,0.0,2.0,0.0,True,43.00000000000001,0.0,0,0,0.0,0.0
55,56.0,44.33500000000001,0.0,0.08500000000000002,0.0,0.0,2.0,0.0,True,44.25000000000001,0.0,0,0,0.0,0.0
56,57.0,44.83625000000001,0.0,0.08625000000000002,0.0,0.0,2.0,0.0,True,44.75000000000001,0.0,0,0,0.0,0.0
57,58.0,45.712500000000006,0.0,0.08750000000000002,0.0,0.0,2.0,0.0,True,45.62500000000001,0.0,0,0,0.0,0.0
58,59.0,46.96625000000001,0.0,0.09125000000000001,0.0,0.0,2.0,0.0,True,46.87500000000001,0.0,0,0,0.0,0.0
59,60.0,48.21750000000001,0.0,0.09250000000000001,0.0,0.0,2.0,0.0,True,48.12500000000001,0.0,0,0,0.0,0.0
60,61.0,48.71875000000001,0.0,0.09375000000000001,0.0,0.0,2.0,0.0,True,48.62500000000001,0.0,0,0,0.0,0.0
61,62.0,49.09500000000001,0.0,0.09500000000000001,0.0,0.0,2.0,0.0,True,49.00000000000001,0.0,0,0,0.0,0.0
62,63.0,49.34625000000001,0.0,0.09625000000000002,0.0,0.0,2.0,0.0,True,49.25000000000001,0.0,0,0,0.0,0.0
63,64.0,49.59750000000001,0.0,0.09750000000000002,0.0,0.0,2.0,0.0,True,49.50000000000001,0.0,0,0,0.0,0.0
64,65.0,50.85125000000001,0.0,0.10125000000000002,0.0,0.0,2.0,0.0,True,50.75000000000001,0.0,0,0,0.0,0.0
65,66.0,51.35250000000001,0.0,0.10250000000000002,0.0,0.0,2.0,0.0,True,51.25000000000001,0.0,0,0,0.0,0.0
66,67.0,51.22875000000001,0.0,0.10375000000000002,0.0,0.0,2.0,0.0,True,51.12500000000001,0.0,0,0,0.0,0.0
67,68.0,52.23250000000001,0.0,0.10750000000000003,0.0,0.0,2.0,0.0,True,52.12500000000001,0.0,0,0,0.0,0.0
68,69.0,52.73375000000001,0.0,0.10875000000000003,0.0,0.0,2.0,0.0,True,52.62500000000001,0.0,0,0,0.0,0.0
69,70.0,54.74000000000001,0.0,0.11500000000000002,0.0,0.0,3.0,0.0,True,54.62500000000001,0.0,0,0,0.0,0.0
70,71.0,54.74125000000001,0.0,0.11625000000000002,0.0,0.0,3.0,0.0,True,54.62500000000001,0.0,0,0,0.0,0.0
71,72.0,55.242500000000014,0.0,0.11750000000000002,0.0,0.0,3.0,0.0,True,55.125000000000014,0.0,0,0,0.0,0.0
