step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent
0,1.0,0.5012500000000001,0.0,0.0012500000000000002,0.0,0.0,1.0,0.0,True,0.5000000000000001,0.0,0,0,0.0,0.0
100,101.0,57.52625000000001,0.0,0.15125000000000002,0.0,0.0,3.0,0.0,True,57.375000000000014,0.0,0,0,0.0,0.0
200,201.0,127.49375000000002,0.0,0.3687500000000001,0.0,0.0,3.0,0.0,True,127.12500000000003,0.0,0,0,0.0,0.0
300,301.0,176.11250000000004,0.0,0.6125000000000002,0.0,0.0,3.0,0.0,True,175.50000000000003,0.0,1,4,1.0,0.0
400,401.0,222.27750000000003,0.0,0.9025000000000002,0.0,0.0,3.0,0.0,True,221.37500000000006,0.0,1,6,1.0,0.0
500,501.0,259.86000000000007,0.0,1.2350000000000003,0.0,0.0,3.0,0.0,True,258.62500000000006,0.0,3,16,1.5,0.0
600,601.0,279.6025000000001,0.0,1.6025000000000003,0.0,0.0,3.0,0.0,True,278.00000000000006,0.0,9,31,1.8064516129032258,0.0
700,701.0,281.20875000000007,0.0,1.9587500000000004,0.0,0.0,3.0,0.0,True,279.25000000000006,0.0,14,56,2.642857142857143,0.0
800,801.0,274.06625,0.0,2.3162500000000006,0.0,0.0,3.0,0.0,True,271.75000000000006,0.0,37,91,3.5494505494505493,0.0
900,901.0,264.38000000000005,0.0,2.6300000000000003,0.0,0.0,3.0,0.0,True,261.75000000000006,0.0,219,123,8.138211382113822,0.0
1000,1001.0,273.3837500000001,0.0,2.5087500000000005,0.0,0.0,3.0,0.0,True,270.87500000000006,0.0,228,169,17.881656804733726,0.0
1100,1101.0,253.19375000000005,0.0,2.5687500000000005,0.0,0.0,3.0,0.0,True,250.62500000000006,0.0,228,214,20.957943925233646,0.0
1200,1201.0,241.61000000000004,0.0,2.6100000000000003,0.0,0.0,3.0,0.0,True,239.00000000000006,0.0,276,258,24.224806201550386,0.0
1300,1301.0,258.70500000000004,0.0,2.5800000000000005,0.0,0.0,3.0,0.0,True,256.12500000000006,0.0,341,292,26.681506849315067,0.0
1400,1401.0,244.43625000000006,0.0,2.5612500000000007,0.0,0.0,3.0,0.0,True,241.87500000000006,0.0,341,334,28.832335329341316,0.0
1500,1501.0,254.45375000000004,0.0,2.5787500000000003,0.0,0.0,3.0,0.0,True,251.87500000000006,0.0,341,383,28.92167101827676,0.0
1600,1601.0,276.43125000000003,0.0,2.5562500000000004,0.0,0.0,3.0,0.0,True,273.87500000000006,0.0,428,425,30.531764705882352,0.0
1700,1701.0,266.06500000000005,0.0,2.5650000000000004,0.0,0.0,3.0,0.0,True,263.50000000000006,0.0,428,476,31.19747899159664,0.0
1800,1801.0,281.62000000000006,0.0,2.6200000000000006,0.0,0.0,3.0,0.0,True,279.00000000000006,0.0,572,518,31.884169884169886,0.0
1900,1901.0,266.96625000000006,0.0,2.5912500000000005,0.0,0.0,3.0,0.0,True,264.37500000000006,0.0,633,556,33.07374100719424,0.0
2000,2001.0,246.23375000000004,0.0,2.6087500000000006,0.0,0.0,3.0,0.0,True,243.62500000000006,0.0,633,596,33.95637583892618,0.0
2100,2101.0,246.68250000000006,0.0,2.5575000000000006,0.0,0.0,3.0,0.0,True,244.12500000000006,0.0,633,636,34.375786163522015,0.0
2200,2201.0,277.9825000000001,0.0,2.6075000000000004,0.0,0.0,3.0,0.0,True,275.37500000000006,0.0,633,671,34.87928464977645,0.0
2300,2301.0,226.01625000000004,0.0,2.5162500000000003,0.0,0.0,3.0,0.0,True,223.50000000000006,0.0,633,716,35.48463687150838,0.0
2400,2401.0,244.28250000000006,0.0,2.5325000000000006,0.0,0.0,3.0,0.0,True,241.75000000000006,0.0,633,755,36.144370860927154,0.0
2500,2501.0,244.29875000000004,0.0,2.6737500000000005,0.0,0.0,3.0,0.0,True,241.62500000000006,0.0,633,791,35.850821744627055,0.0
2600,2601.0,248.06875000000005,0.0,2.5687500000000005,0.0,0.0,3.0,0.0,True,245.50000000000006,0.0,633,838,36.346062052505964,0.0
2700,2701.0,251.68750000000006,0.0,2.5625000000000004,0.0,0.0,3.0,0.0,True,249.12500000000006,0.0,633,888,36.138513513513516,0.0
2800,2801.0,267.4775000000001,0.0,2.6025000000000005,0.0,0.0,3.0,0.0,True,264.87500000000006,0.0,633,927,36.333333333333336,0.0
2900,2901.0,256.51750000000004,0.0,2.5175000000000005,0.0,0.0,3.0,0.0,True,254.00000000000006,0.0,633,971,36.59629248197734,0.0
3000,3001.0,265.65250000000003,0.0,2.5275000000000003,0.0,0.0,3.0,0.0,True,263.12500000000006,0.0,633,1009,36.37958374628345,0.0
3100,3101.0,252.55250000000004,0.0,2.5525000000000007,0.0,0.0,3.0,0.0,True,250.00000000000006,0.0,633,1054,36.564516129032256,0.0
3200,3201.0,277.32250000000005,0.0,2.5725000000000007,0.0,0.0,3.0,0.0,True,274.75000000000006,0.0,633,1099,36.690627843494084,0.0
3300,3301.0,248.56250000000006,0.0,2.6875000000000004,0.0,0.0,3.0,0.0,True,245.87500000000006,0.0,633,1138,36.59138840070299,0.0
3400,3401.0,248.21625000000006,0.0,2.5912500000000005,0.0,0.0,3.0,0.0,True,245.62500000000006,0.0,633,1186,36.54468802698145,0.0
3500,3501.0,270.41125000000005,0.0,2.6612500000000003,0.0,0.0,3.0,0.0,True,267.75000000000006,0.0,633,1225,36.88734693877551,0.0
3600,3601.0,254.72375000000005,0.0,2.5987500000000003,0.0,0.0,3.0,0.0,True,252.12500000000006,0.0,633,1271,36.645161290322584,0.0
3700,3701.0,236.62750000000005,0.0,2.6275000000000004,0.0,0.0,3.0,0.0,True,234.00000000000006,0.0,633,1317,36.77372817008352,0.0
3800,3801.0,288.56000000000006,0.0,2.5600000000000005,0.0,0.0,3.0,0.0,True,286.00000000000006,0.0,633,1358,37.019882179675996,0.0
3900,3901.0,256.14750000000004,0.0,2.5225000000000004,0.0,0.0,3.0,0.0,True,253.62500000000006,0.0,633,1404,37.017806267806264,0.0
4000,4001.0,267.7250000000001,0.0,2.6000000000000005,0.0,0.0,3.0,0.0,True,265.12500000000006,0.0,633,1442,37.16851595006935,0.0
4100,4101.0,247.81500000000005,0.0,2.6900000000000004,0.0,0.0,3.0,0.0,True,245.12500000000006,0.0,633,1480,37.01486486486486,0.0
4200,4201.0,277.88500000000005,0.0,2.6350000000000007,0.0,0.0,3.0,0.0,True,275.25000000000006,0.0,633,1523,37.270518713066316,0.0
4300,4301.0,252.62625000000006,0.0,2.6262500000000006,0.0,0.0,3.0,0.0,True,250.00000000000006,0.0,633,1560,37.39038461538462,0.0
4400,4401.0,243.35000000000005,0.0,2.6000000000000005,0.0,0.0,3.0,0.0,True,240.75000000000006,0.0,633,1605,37.602492211838005,0.0
4500,4501.0,264.37375000000003,0.0,2.6237500000000007,0.0,0.0,3.0,0.0,True,261.75000000000006,0.0,633,1645,37.54103343465046,0.0
4600,4601.0,241.59750000000005,0.0,2.5975000000000006,0.0,0.0,3.0,0.0,True,239.00000000000006,0.0,633,1682,37.8192627824019,0.0
4700,4701.0,243.18875000000006,0.0,2.5637500000000006,0.0,0.0,3.0,0.0,True,240.62500000000006,0.0,633,1731,37.82842287694974,0.0
4800,4801.0,250.32500000000005,0.0,2.5750000000000006,0.0,0.0,3.0,0.0,True,247.75000000000006,0.0,633,1775,37.8912676056338,0.0
4900,4901.0,283.68375000000003,0.0,2.5587500000000003,0.0,0.0,3.0,0.0,True,281.12500000000006,0.0,633,1816,38.13986784140969,0.0
