Price,Close,High,Low,Open,Volume
Ticker,^SET.BK,^SET.BK,^SET.BK,^SET.BK,^SET.BK
Date,,,,,
2010-01-04,732.280029296875,737.1400146484375,725.6500244140625,736.6599731445312,2368700
2010-01-05,732.1099853515625,740.8599853515625,730.7999877929688,737.3800048828125,3028800
2010-01-06,735.72998046875,737.1199951171875,732.6599731445312,734.72998046875,3696400
2010-01-07,734.6300048828125,740.9099731445312,733.75,738.77001953125,3693600
2010-01-08,738.9600219726562,740.9099731445312,736.030029296875,736.2899780273438,2693600
2010-01-11,746.9500122070312,748.02001953125,742.719970703125,743.0800170898438,3186800
2010-01-12,745.239990234375,749.239990234375,745.1500244140625,745.530029296875,3455500
2010-01-13,746.739990234375,746.739990234375,741.4000244140625,741.5399780273438,2487400
2010-01-14,749.4199829101562,751.9299926757812,747.9400024414062,750.7000122070312,3362100
2010-01-15,746.52001953125,753.1699829101562,745.5900268554688,751.969970703125,2917100
2010-01-18,746.8900146484375,747.8699951171875,743.5599975585938,744.1900024414062,2297300
2010-01-19,736.47998046875,749.6500244140625,735.3499755859375,747.77001953125,3736500
2010-01-20,731.7999877929688,740.0499877929688,723.1500244140625,738.2999877929688,3102200
2010-01-21,718.989990234375,730.3400268554688,718.989990234375,727.5499877929688,2375900
2010-01-22,714.0999755859375,715.4199829101562,705.6900024414062,710.75,2973500
2010-01-25,710.3900146484375,713.8900146484375,702.8699951171875,706.760009765625,1790700
2010-01-26,701.6599731445312,713.0,700.780029296875,711.97998046875,2082700
2010-01-27,690.4600219726562,706.1300048828125,690.4600219726562,704.5999755859375,2239500
2010-01-28,689.719970703125,698.3499755859375,682.1699829101562,696.5599975585938,2715600
2010-01-29,696.5499877929688,696.5499877929688,684.260009765625,685.1400146484375,1927300
2010-02-01,697.6099853515625,697.6099853515625,685.6900024414062,692.6599731445312,1437500
2010-02-02,694.0700073242188,703.030029296875,694.0700073242188,702.3499755859375,1640700
2010-02-03,707.6500244140625,707.780029296875,697.7100219726562,698.030029296875,2974500
2010-02-04,702.52001953125,708.510009765625,702.010009765625,705.3300170898438,2319900
2010-02-05,691.4099731445312,693.6599731445312,687.1099853515625,691.1699829101562,1937800
2010-02-08,688.0900268554688,689.719970703125,680.239990234375,689.0800170898438,1810100
2010-02-09,685.8900146484375,688.1400146484375,679.4500122070312,685.010009765625,1681300
