step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,order_parameter,domain_count
0,0.01,-0.5006133538185524,0.0,-0.5006162136558304,0.0,0.0,0.008348864513278185,-0.008391649079652312,True,2.8598372780487836e-06,0.0,0.002596664931347882,521
10,0.10999999999999999,-0.5363084071460557,0.0,-0.551581006550192,0.0,0.0,0.620381520389834,-0.6758842716680347,True,0.015272599404136465,0.0,0.2711607501989766,328
20,0.21000000000000005,-0.6997152201423356,0.0,-0.7665991093766994,0.0,0.0,0.9811101653844173,-0.9803454941947675,True,0.06688388923436389,0.0,0.6721840209634271,266
30,0.3100000000000001,-0.745997957771368,0.0,-0.8040875876550442,0.0,0.0,1.035252434770841,-1.1126845563513803,True,0.058089629883676,0.0,0.7253017557255115,242
40,0.4100000000000002,-0.7570364878040132,0.0,-0.810318185843553,0.0,0.0,1.2596629405608688,-1.2313800910022086,True,0.05328169803953961,0.0,0.729056069691056,213
