step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent
0,1.0,0.5012500000000001,0.0,0.0012500000000000002,0.0,0.0,1.0,0.0,True,0.5000000000000001,0.0,0,0,0.0,0.0
100,101.0,67.41125000000001,0.0,0.16125000000000003,0.0,0.0,3.0,0.0,True,67.25000000000001,0.0,0,0,0.0,0.0
200,201.0,117.23125000000002,0.0,0.35625000000000007,0.0,0.0,3.0,0.0,True,116.87500000000003,0.0,0,0,0.0,0.0
300,301.0,177.61625000000004,0.0,0.6162500000000001,0.0,0.0,3.0,0.0,True,177.00000000000003,0.0,1,4,1.0,0.0
400,401.0,214.80125000000004,0.0,0.9262500000000001,0.0,0.0,3.0,0.0,True,213.87500000000003,0.0,2,10,1.1,0.0
500,501.0,256.64375000000007,0.0,1.2687500000000003,0.0,0.0,3.0,0.0,True,255.37500000000006,0.0,4,18,1.4444444444444444,0.0
600,601.0,292.61500000000007,0.0,1.6150000000000002,0.0,0.0,3.0,0.0,True,291.00000000000006,0.0,8,34,1.9705882352941178,0.0
700,701.0,259.70000000000005,0.0,1.9500000000000004,0.0,0.0,3.0,0.0,True,257.75000000000006,0.0,18,58,2.7241379310344827,0.0
800,801.0,265.23125000000005,0.0,2.3562500000000006,0.0,0.0,3.0,0.0,True,262.87500000000006,0.0,28,88,3.352272727272727,0.0
900,901.0,270.8525000000001,0.0,2.6025000000000005,0.0,0.0,3.0,0.0,True,268.25000000000006,0.0,139,123,10.94308943089431,0.0
