step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,9.959310488941394,0.0,9.959310488941394,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,3.5019002831798898,0.07861089166557798
2,0.002,917.383331067353,0.0,917.383331067353,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.444675745082566,0.004048838804881762
3,0.003,2639.11559675477,0.0,2639.11559675477,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9125629350669038,0.0018447399395160216
4,0.004,2280.721348107996,0.0,2280.721348107996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0570911838523216,0.002132960403307405
5,0.005,2570.827009035235,0.0,2570.827009035235,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9499885700298746,0.0019044045788624475
6,0.006,2318.2716868403936,0.0,2318.2716868403936,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0547473980407485,0.0021132875218150696
7,0.007,2582.7995272364997,0.0,2582.7995272364997,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9473643150576518,0.0018975161759932995
8,0.008,2318.1994732635003,0.0,2318.1994732635003,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0555177853885458,0.0021141413498415762
9,0.009000000000000001,2582.7995272364997,0.0,2582.7995272364997,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9473643150576518,0.0018975161759932995
10,0.010000000000000002,2318.1994732635003,0.0,2318.1994732635003,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0555177853885458,0.0021141413498415762
11,0.011000000000000003,2582.7995272364997,0.0,2582.7995272364997,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9473643150576518,0.0018975161759932995
12,0.012000000000000004,2318.1994732635003,0.0,2318.1994732635003,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0555177853885458,0.0021141413498415762
13,0.013000000000000005,2582.7995272364997,0.0,2582.7995272364997,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9473643150576518,0.0018975161759932995
14,0.014000000000000005,2318.1994732635003,0.0,2318.1994732635003,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0555177853885458,0.0021141413498415762
15,0.015000000000000006,2582.7995272364997,0.0,2582.7995272364997,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9473643150576518,0.0018975161759932995
16,0.016000000000000007,2318.1994732635003,0.0,2318.1994732635003,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0555177853885458,0.0021141413498415762
