step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility,value_delta
31,0.3200000000000001,1.9143160451667984,0.0,0.0,0.0,0.0,1.0,0.0,True,1.9125,0.0018160451667984454,0,0,0.0,0.0,100.00001781389662,0.0,0.0
32,0.3300000000000001,1.9642791567493478,0.0,0.0,0.0,0.0,1.0,0.0,True,1.9625000000000001,0.0017791567493478516,0,0,0.0,0.0,100.00001841924512,0.0,0.0
33,0.34000000000000014,2.0142414170607257,0.0,0.0,0.0,0.0,1.0,0.0,True,2.0125,0.0017414170607253216,0,0,0.0,0.0,100.00001901229749,0.0,0.0
34,0.35000000000000014,2.0642030034490917,0.0,0.0,0.0,0.0,1.0,0.0,True,2.0625,0.0017030034490916747,0,0,0.0,0.0,100.00001959276996,0.0,0.0
35,0.36000000000000015,2.21416407765597,0.0,0.0,0.0,0.0,2.0,0.0,True,2.2125000000000004,0.0016640776559695791,0,0,0.0,0.0,100.0000201604379,0.0,0.0
36,0.37000000000000016,2.339124786933537,0.0,0.0,0.0,0.0,2.0,0.0,True,2.3375000000000004,0.001624786933536964,0,0,0.0,0.0,100.00002071513057,0.0,0.0
37,0.38000000000000017,2.4890852650892077,0.0,0.0,0.0,0.0,2.0,0.0,True,2.4875,0.0015852650892076864,0,0,0.0,0.0,100.00002125672633,0.0,0.0
38,0.3900000000000002,2.5390456334619778,0.0,0.0,0.0,0.0,2.0,0.0,True,2.5375,0.001545633461977494,0,0,0.0,0.0,100.00002178514815,0.0,0.0
39,0.4000000000000002,2.5890060018347474,0.0,0.0,0.0,0.0,2.0,0.0,True,2.5875,0.001506001834747302,0,0,0.0,0.0,100.00002230035942,0.0,0.0
40,0.4100000000000002,2.676466469286585,0.0,0.0,0.0,0.0,2.0,0.0,True,2.675,0.001466469286585185,0,0,0.0,0.0,100.00002280236015,0.0,0.0
41,0.4200000000000002,2.763927124988652,0.0,0.0,0.0,0.0,2.0,0.0,True,2.7625,0.0014271249886524118,0,0,0.0,0.0,100.00002329118335,0.0,0.0
42,0.4300000000000002,2.8138880489472964,0.0,0.0,0.0,0.0,2.0,0.0,True,2.8125,0.0013880489472964527,0,0,0.0,0.0,100.0000237668918,0.0,0.0
43,0.4400000000000002,2.8638493126976043,0.0,0.0,0.0,0.0,2.0,0.0,True,2.8625,0.0013493126976044587,0,0,0.0,0.0,100.00002422957489,0.0,0.0
44,0.45000000000000023,2.9138109799505134,0.0,0.0,0.0,0.0,2.0,0.0,True,2.9124999999999996,0.0013109799505134226,0,0,0.0,0.0,100.00002467934591,0.0,0.0
45,0.46000000000000024,2.9637731071963875,0.0,0.0,0.0,0.0,2.0,0.0,True,2.9625,0.0012731071963874795,0,0,0.0,0.0,100.00002511633933,0.0,0.0
46,0.47000000000000025,3.013735744267798,0.0,0.0,0.0,0.0,2.0,0.0,True,3.0125,0.0012357442677978466,0,0,0.0,0.0,100.0000255407085,0.0,0.0
47,0.48000000000000026,3.0386989348640765,0.0,0.0,0.0,0.0,2.0,0.0,True,3.0375,0.0011989348640762086,0,0,0.0,0.0,100.00002595262336,0.0,0.0
48,0.49000000000000027,3.0636627170400574,0.0,0.0,0.0,0.0,2.0,0.0,True,3.0625,0.0011627170400572396,0,0,0.0,0.0,100.00002635226842,0.0,0.0
49,0.5000000000000002,3.32612712366128,0.0,0.0,0.0,0.0,2.0,0.0,True,3.325,0.0011271236612799772,0,0,0.0,0.0,100.00002673984088,0.0,0.0
50,0.5100000000000002,3.3135921828277803,0.0,0.0,0.0,0.0,2.0,0.0,True,3.3125,0.0010921828277802978,0,0,0.0,0.0,100.00002711554886,0.0,0.0
51,0.5200000000000002,3.3885579182684777,0.0,0.0,0.0,0.0,2.0,0.0,True,3.3875,0.0010579182684773865,0,0,0.0,0.0,100.0000274796099,0.0,0.0
52,0.5300000000000002,3.376024349708035,0.0,0.0,0.0,0.0,2.0,0.0,True,3.375,0.0010243497080353156,0,0,0.0,0.0,100.00002783224943,0.0,0.0
53,0.5400000000000003,3.4634914932079663,0.0,0.0,0.0,0.0,2.0,0.0,True,3.4625000000000004,0.0009914932079662583,0,0,0.0,0.0,100.00002817369943,0.0,0.0
54,0.5500000000000003,3.5509593614836343,0.0,0.0,0.0,0.0,2.0,0.0,True,3.55,0.0009593614836340184,0,0,0.0,0.0,100.00002850419726,0.0,0.0
55,0.5600000000000003,3.600927964198715,0.0,0.0,0.0,0.0,2.0,0.0,True,3.5999999999999996,0.0009279641987150868,0,0,0.0,0.0,100.00002882398451,0.0,0.0
56,0.5700000000000003,3.7508973082385793,0.0,0.0,0.0,0.0,2.0,0.0,True,3.75,0.0008973082385789634,0,0,0.0,0.0,100.00002913330599,0.0,0.0
57,0.5800000000000003,3.800867397963959,0.0,0.0,0.0,0.0,2.0,0.0,True,3.8,0.0008673979639596644,0,0,0.0,0.0,100.00002943240882,0.0,0.0
58,0.5900000000000003,3.8508382354462056,0.0,0.0,0.0,0.0,2.0,0.0,True,3.8499999999999996,0.0008382354462058482,0,0,0.0,0.0,100.00002972154157,0.0,0.0
59,0.6000000000000003,3.8758098206853178,0.0,0.0,0.0,0.0,2.0,0.0,True,3.875,0.0008098206853175144,0,0,0.0,0.0,100.00003000095346,0.0,0.0
60,0.6100000000000003,3.963282151811903,0.0,0.0,0.0,0.0,2.0,0.0,True,3.9625,0.0007821518119024993,0,0,0.0,0.0,100.00003027089376,0.0,0.0
61,0.6200000000000003,4.013255225274116,0.0,0.0,0.0,0.0,2.0,0.0,True,4.012499999999999,0.0007552252741156919,0,0,0.0,0.0,100.0000305316111,0.0,0.0
62,0.6300000000000003,4.063229036010578,0.0,0.0,0.0,0.0,2.0,0.0,True,4.0625,0.000729036010577809,0,0,0.0,0.0,100.00003078335294,0.0,0.0
63,0.6400000000000003,4.113203577610208,0.0,0.0,0.0,0.0,2.0,0.0,True,4.1125,0.0007035776102084252,0,0,0.0,0.0,100.00003102636502,0.0,0.0
64,0.6500000000000004,4.16317884245985,0.0,0.0,0.0,0.0,2.0,0.0,True,4.1625000000000005,0.0006788424598495351,0,0,0.0,0.0,100.00003126089096,0.0,0.0
65,0.6600000000000004,4.213154821880501,0.0,0.0,0.0,0.0,2.0,0.0,True,4.2125,0.000654821880501013,0,0,0.0,0.0,100.00003148717185,0.0,0.0
66,0.6700000000000004,4.238131506252938,0.0,0.0,0.0,0.0,2.0,0.0,True,4.237500000000001,0.0006315062529377194,0,0,0.0,0.0,100.00003170544588,0.0,0.0
67,0.6800000000000004,4.28810888513343,0.0,0.0,0.0,0.0,2.0,0.0,True,4.2875,0.0006088851334295025,0,0,0.0,0.0,100.00003191594803,0.0,0.0
68,0.6900000000000004,4.338086947360241,0.0,0.0,0.0,0.0,2.0,0.0,True,4.3375,0.0005869473602397631,0,0,0.0,0.0,100.0000321189098,0.0,0.0
69,0.7000000000000004,4.388065681151535,0.0,0.0,0.0,0.0,2.0,0.0,True,4.387499999999999,0.0005656811515354237,0,0,0.0,0.0,100.00003231455898,0.0,0.0
70,0.7100000000000004,4.413045074195301,0.0,0.0,0.0,0.0,2.0,0.0,True,4.4125,0.000545074195300919,0,0,0.0,0.0,100.00003250311943,0.0,0.0
71,0.7200000000000004,4.4630251137318115,0.0,0.0,0.0,0.0,2.0,0.0,True,4.4625,0.0005251137318110261,0,0,0.0,0.0,100.00003268481088,0.0,0.0
72,0.7300000000000004,4.513005786629182,0.0,0.0,0.0,0.0,2.0,0.0,True,4.5125,0.0005057866291818704,0,0,0.0,0.0,100.00003285984884,0.0,0.0
73,0.7400000000000004,4.562987079452487,0.0,0.0,0.0,0.0,2.0,0.0,True,4.5625,0.0004870794524861025,0,0,0.0,0.0,100.00003302844443,0.0,0.0
74,0.7500000000000004,4.612968978526887,0.0,0.0,0.0,0.0,2.0,0.0,True,4.612500000000001,0.0004689785268869567,0,0,0.0,0.0,100.0000331908043,0.0,0.0
75,0.7600000000000005,4.675451469995217,0.0,0.0,0.0,0.0,2.0,0.0,True,4.675000000000001,0.00045146999521651035,0,0,0.0,0.0,100.00003334713053,0.0,0.0
76,0.7700000000000005,4.762934539870396,0.0,0.0,0.0,0.0,2.0,0.0,True,4.762500000000001,0.0004345398703958912,0,0,0.0,0.0,100.00003349762058,0.0,0.0
77,0.7800000000000005,4.850418174083069,0.0,0.0,0.0,0.0,2.0,0.0,True,4.85,0.00041817408306929265,0,0,0.0,0.0,100.00003364246724,0.0,0.0
78,0.7900000000000005,4.9004023585248,0.0,0.0,0.0,0.0,2.0,0.0,True,4.9,0.00040235852479936424,0,0,0.0,0.0,100.00003378185866,0.0,0.0
79,0.8000000000000005,5.050387079087149,0.0,0.0,0.0,0.0,2.0,0.0,True,5.050000000000001,0.00038707908714875547,0,0,0.0,0.0,100.00003391597822,0.0,0.0
80,0.8100000000000005,5.112872321696951,0.0,0.0,0.0,0.0,2.0,0.0,True,5.112500000000001,0.0003723216969512092,0,0,0.0,0.0,100.00003404500464,0.0,0.0
81,0.8200000000000005,5.1628580723480555,0.0,0.0,0.0,0.0,2.0,0.0,True,5.1625000000000005,0.00035807234805554556,0,0,0.0,0.0,100.00003416911191,0.0,0.0
82,0.8300000000000005,5.212844317129807,0.0,0.0,0.0,0.0,2.0,0.0,True,5.2125,0.00034431712980707033,0,0,0.0,0.0,100.00003428846941,0.0,0.0
83,0.8400000000000005,5.300331042252514,0.0,0.0,0.0,0.0,2.0,0.0,True,5.300000000000001,0.00033104225251330376,0,0,0.0,0.0,100.00003440324181,0.0,0.0
84,0.8500000000000005,5.350318234070125,0.0,0.0,0.0,0.0,2.0,0.0,True,5.3500000000000005,0.0003182340701243962,0,0,0.0,0.0,100.00003451358927,0.0,0.0
85,0.8600000000000005,5.6128058791003435,0.0,0.0,0.0,0.0,2.0,0.0,True,5.612500000000001,0.00030587910034309603,0,0,0.0,0.0,100.00003461966732,0.0,0.0
86,0.8700000000000006,5.662793964042365,0.0,0.0,0.0,0.0,2.0,0.0,True,5.6625000000000005,0.00029396404236461493,0,0,0.0,0.0,100.00003472162706,0.0,0.0
87,0.8800000000000006,5.787782475792433,0.0,0.0,0.0,0.0,2.0,0.0,True,5.7875000000000005,0.00028247579243312424,0,0,0.0,0.0,100.00003481961511,0.0,0.0
88,0.8900000000000006,5.837771401457389,0.0,0.0,0.0,0.0,2.0,0.0,True,5.8375,0.00027140145738887113,0,0,0.0,0.0,100.00003491377373,0.0,0.0
89,0.9000000000000006,5.887760728366368,0.0,0.0,0.0,0.0,2.0,0.0,True,5.887500000000001,0.0002607283663679604,0,0,0.0,0.0,100.00003500424091,0.0,0.0
90,0.9100000000000006,5.975250444080805,0.0,0.0,0.0,0.0,2.0,0.0,True,5.975,0.0002504440808056687,0,0,0.0,0.0,100.00003509115041,0.0,0.0
91,0.9200000000000006,6.062740536402884,0.0,0.0,0.0,0.0,2.0,0.0,True,6.0625,0.00024053640288368617,0,0,0.0,0.0,100.00003517463179,0.0,0.0
92,0.9300000000000006,6.125230993382552,0.0,0.0,0.0,0.0,2.0,0.0,True,6.125,0.0002309933825518877,0,0,0.0,0.0,100.00003525481061,0.0,0.0
93,0.9400000000000006,6.175221803323247,0.0,0.0,0.0,0.0,2.0,0.0,True,6.175,0.00022180332324605993,0,0,0.0,0.0,100.00003533180842,0.0,0.0
94,0.9500000000000006,6.200212954786415,0.0,0.0,0.0,0.0,2.0,0.0,True,6.199999999999999,0.0002129547864144352,0,0,0.0,0.0,100.00003540574288,0.0,0.0
95,0.9600000000000006,6.2502044365949585,0.0,0.0,0.0,0.0,2.0,0.0,True,6.25,0.00020443659495785778,0,0,0.0,0.0,100.00003547672783,0.0,0.0
96,0.9700000000000006,6.275196237835681,0.0,0.0,0.0,0.0,2.0,0.0,True,6.2749999999999995,0.00019623783568090199,0,0,0.0,0.0,100.00003554487338,0.0,0.0
97,0.9800000000000006,6.325188347860845,0.0,0.0,0.0,0.0,2.0,0.0,True,6.324999999999999,0.00018834786084424718,0,0,0.0,0.0,100.00003561028602,0.0,0.0
98,0.9900000000000007,6.375180756288902,0.0,0.0,0.0,0.0,2.0,0.0,True,6.375,0.00018075628890205553,0,0,0.0,0.0,100.00003567306867,0.0,0.0
99,1.0000000000000007,6.425173453004502,0.0,0.0,0.0,0.0,2.0,0.0,True,6.425000000000001,0.00017345300450197248,0,0,0.0,0.0,100.00003573332079,0.0,0.0
100,1.0100000000000007,6.487666428157819,0.0,0.0,0.0,0.0,2.0,0.0,True,6.487500000000001,0.0001664281578196426,0,0,0.0,0.0,100.00003579113847,0.0,0.0
101,1.0200000000000007,6.5376596721632945,0.0,0.0,0.0,0.0,2.0,0.0,True,6.5375000000000005,0.00015967216329429077,0,0,0.0,0.0,100.00003584661454,0.0,0.0
102,1.0300000000000007,6.587653175697827,0.0,0.0,0.0,0.0,2.0,0.0,True,6.5875,0.00015317569782692496,0,0,0.0,0.0,100.00003589983861,0.0,0.0
103,1.0400000000000007,6.650146929698499,0.0,0.0,0.0,0.0,2.0,0.0,True,6.65,0.00014692969849806008,0,0,0.0,0.0,100.00003595089719,0.0,0.0
104,1.0500000000000007,6.737640925359858,0.0,0.0,0.0,0.0,2.0,0.0,True,6.737500000000001,0.00014092535985751433,0,0,0.0,0.0,100.00003599987376,0.0,0.0
105,1.0600000000000007,6.762635154130836,0.0,0.0,0.0,0.0,2.0,0.0,True,6.7625,0.00013515413083477803,0,0,0.0,0.0,100.00003604684889,0.0,0.0
