step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,Zero_ID,Imaginary_t,Status
1,0.027472972869873047,6.668186342283778e-16,14.134725141734695,0.0,0.0,0.0,0.0,0.0,True,1,14.134725141734695,PASS
2,0.046495676040649414,1.160916404432883e-15,21.022039638771556,0.0,0.0,0.0,0.0,0.0,True,2,21.022039638771556,PASS
3,0.06503582000732422,8.49884485575286e-16,25.01085758014569,0.0,0.0,0.0,0.0,0.0,True,3,25.01085758014569,PASS
4,0.08461117744445801,1.0578057324100325e-15,30.424876125859512,0.0,0.0,0.0,0.0,0.0,True,4,30.424876125859512,PASS
5,0.10451436042785645,2.7490910092466363e-15,32.93506158773919,0.0,0.0,0.0,0.0,0.0,True,5,32.93506158773919,PASS
6,0.12346148490905762,6.666942710405275e-15,37.586178158825675,0.0,0.0,0.0,0.0,0.0,True,6,37.586178158825675,PASS
7,0.14444637298583984,4.794581520531557e-15,40.9187190121475,0.0,0.0,0.0,0.0,0.0,True,7,40.9187190121475,PASS
8,0.16499614715576172,4.3167091771724725e-15,43.327073280915,0.0,0.0,0.0,0.0,0.0,True,8,43.327073280915,PASS
9,0.1903226375579834,1.9998078013891557e-15,48.00515088116716,0.0,0.0,0.0,0.0,0.0,True,9,48.00515088116716,PASS
10,0.21347355842590332,2.4488081356777964e-15,49.7738324776723,0.0,0.0,0.0,0.0,0.0,True,10,49.7738324776723,PASS
11,0.23200130462646484,7.545642507843105e-15,52.970321477714464,0.0,0.0,0.0,0.0,0.0,True,11,52.970321477714464,PASS
12,0.25272560119628906,7.79378304633177e-15,56.44624769706339,0.0,0.0,0.0,0.0,0.0,True,12,56.44624769706339,PASS
13,0.2756643295288086,8.571734057827425e-16,59.34704400260235,0.0,0.0,0.0,0.0,0.0,True,13,59.34704400260235,PASS
14,0.3003225326538086,2.025276320396503e-16,60.83177852460981,0.0,0.0,0.0,0.0,0.0,True,14,60.83177852460981,PASS
15,0.32352328300476074,9.622894137220615e-15,65.1125440480816,0.0,0.0,0.0,0.0,0.0,True,15,65.1125440480816,PASS
16,0.3482804298400879,1.058248402980891e-14,67.07981052949417,0.0,0.0,0.0,0.0,0.0,True,16,67.07981052949417,PASS
17,0.3726780414581299,1.2454939415804993e-14,69.54640171117398,0.0,0.0,0.0,0.0,0.0,True,17,69.54640171117398,PASS
18,0.39907288551330566,7.936402200816488e-15,72.0671576744819,0.0,0.0,0.0,0.0,0.0,True,18,72.0671576744819,PASS
19,0.43274879455566406,1.2543277824394556e-14,75.70469069908393,0.0,0.0,0.0,0.0,0.0,True,19,75.70469069908393,PASS
20,0.4602391719818115,8.5609983118655e-15,77.1448400688748,0.0,0.0,0.0,0.0,0.0,True,20,77.1448400688748,PASS
21,0.4956803321838379,6.329110547037484e-16,79.33737502024937,0.0,0.0,0.0,0.0,0.0,True,21,79.33737502024937,PASS
22,0.5268476009368896,4.330134721269215e-15,82.91038085408603,0.0,0.0,0.0,0.0,0.0,True,22,82.91038085408603,PASS
23,0.558466911315918,2.7213572575263908e-15,84.73549298051705,0.0,0.0,0.0,0.0,0.0,True,23,84.73549298051705,PASS
24,0.588789701461792,7.596839915687335e-15,87.42527461312523,0.0,0.0,0.0,0.0,0.0,True,24,87.42527461312523,PASS
25,0.6167125701904297,1.473998180376794e-14,88.80911120763446,0.0,0.0,0.0,0.0,0.0,True,25,88.80911120763446,PASS
26,0.6500327587127686,2.0905025173378786e-14,92.49189927055849,0.0,0.0,0.0,0.0,0.0,True,26,92.49189927055849,PASS
27,0.684596061706543,1.2513987259314613e-15,94.65134404051989,0.0,0.0,0.0,0.0,0.0,True,27,94.65134404051989,PASS
28,0.7123711109161377,3.1561500045397634e-15,95.87063422824531,0.0,0.0,0.0,0.0,0.0,True,28,95.87063422824531,PASS
29,0.7389695644378662,1.802444881765381e-14,98.83119421819369,0.0,0.0,0.0,0.0,0.0,True,29,98.83119421819369,PASS
30,0.7686159610748291,2.1663068099031808e-14,101.31785100573138,0.0,0.0,0.0,0.0,0.0,True,30,101.31785100573138,PASS
31,0.8106274604797363,3.2537612149115056e-15,103.72553804047834,0.0,0.0,0.0,0.0,0.0,True,31,103.72553804047834,PASS
32,0.8503434658050537,1.0275589438875036e-14,105.44662305232609,0.0,0.0,0.0,0.0,0.0,True,32,105.44662305232609,PASS
33,0.8874039649963379,2.0476252063089414e-14,107.1686111842764,0.0,0.0,0.0,0.0,0.0,True,33,107.1686111842764,PASS
34,0.9262523651123047,4.022525819962782e-15,111.02953554316967,0.0,0.0,0.0,0.0,0.0,True,34,111.02953554316967,PASS
35,0.9818558692932129,3.2851501507094204e-16,111.87465917699264,0.0,0.0,0.0,0.0,0.0,True,35,111.87465917699264,PASS
36,1.1162142753601074,1.1486916741746918e-14,114.32022091545271,0.0,0.0,0.0,0.0,0.0,True,36,114.32022091545271,PASS
37,1.2332000732421875,1.6536827984576063e-15,116.22668032085755,0.0,0.0,0.0,0.0,0.0,True,37,116.22668032085755,PASS
38,1.3483078479766846,2.17665070585176e-14,118.79078286597621,0.0,0.0,0.0,0.0,0.0,True,38,118.79078286597621,PASS
39,1.4739911556243896,9.737768664731729e-15,121.37012500242065,0.0,0.0,0.0,0.0,0.0,True,39,121.37012500242065,PASS
40,1.5857586860656738,9.067677401779927e-15,122.94682929355258,0.0,0.0,0.0,0.0,0.0,True,40,122.94682929355258,PASS
41,1.7466025352478027,6.906619562808606e-15,124.25681855434577,0.0,0.0,0.0,0.0,0.0,True,41,124.25681855434577,PASS
42,1.8903136253356934,1.603590414615463e-14,127.5166838795965,0.0,0.0,0.0,0.0,0.0,True,42,127.5166838795965,PASS
43,2.0225822925567627,3.1109366910934846e-14,129.57870419995606,0.0,0.0,0.0,0.0,0.0,True,43,129.57870419995606,PASS
44,2.198535442352295,2.3161276364618313e-14,131.08768853093267,0.0,0.0,0.0,0.0,0.0,True,44,131.08768853093267,PASS
45,2.3973889350891113,2.6808010613461242e-14,133.4977372029976,0.0,0.0,0.0,0.0,0.0,True,45,133.4977372029976,PASS
46,2.547497034072876,1.4541303509256515e-14,134.75650975337388,0.0,0.0,0.0,0.0,0.0,True,46,134.75650975337388,PASS
47,2.6820614337921143,1.7941977049347236e-14,138.11604205453344,0.0,0.0,0.0,0.0,0.0,True,47,138.11604205453344,PASS
48,2.816521167755127,2.6432435855318126e-15,139.7362089521214,0.0,0.0,0.0,0.0,0.0,True,48,139.7362089521214,PASS
49,2.9655306339263916,1.775771245018736e-14,141.12370740402113,0.0,0.0,0.0,0.0,0.0,True,49,141.12370740402113,PASS
50,3.11606502532959,2.8131536393153893e-14,143.11184580762063,0.0,0.0,0.0,0.0,0.0,True,50,143.11184580762063,PASS
51,3.2718048095703125,3.301156649702004e-14,146.0009824867655,0.0,0.0,0.0,0.0,0.0,True,51,146.0009824867655,PASS
52,3.4471747875213623,3.5103075082861797e-14,147.42276534255961,0.0,0.0,0.0,0.0,0.0,True,52,147.42276534255961,PASS
53,3.6194000244140625,4.065077765218086e-15,150.05352042078488,0.0,0.0,0.0,0.0,0.0,True,53,150.05352042078488,PASS
54,3.772709846496582,2.0619727226471016e-16,150.92525761224147,0.0,0.0,0.0,0.0,0.0,True,54,150.92525761224147,PASS
55,3.997586488723755,3.984222751254887e-14,153.0246938111989,0.0,0.0,0.0,0.0,0.0,True,55,153.0246938111989,PASS
56,4.130739450454712,3.981492910625246e-14,156.11290929423788,0.0,0.0,0.0,0.0,0.0,True,56,156.11290929423788,PASS
57,4.277885913848877,8.699025260435172e-15,157.59759181759406,0.0,0.0,0.0,0.0,0.0,True,57,157.59759181759406,PASS
58,4.415477991104126,1.5492464966808554e-14,158.8499881714205,0.0,0.0,0.0,0.0,0.0,True,58,158.8499881714205,PASS
59,4.537835359573364,1.222227754479819e-14,161.18896413759603,0.0,0.0,0.0,0.0,0.0,True,59,161.18896413759603,PASS
60,4.677209138870239,3.8145522877079244e-14,163.030709687182,0.0,0.0,0.0,0.0,0.0,True,60,163.030709687182,PASS
61,4.817974805831909,1.5934421258016104e-14,165.5370691879004,0.0,0.0,0.0,0.0,0.0,True,61,165.5370691879004,PASS
62,4.941054582595825,9.351647075368275e-15,167.1844399781745,0.0,0.0,0.0,0.0,0.0,True,62,167.1844399781745,PASS
63,5.083950996398926,1.2406623346166144e-17,169.09451541556882,0.0,0.0,0.0,0.0,0.0,True,63,169.09451541556882,PASS
64,5.203497886657715,1.4185805788867767e-14,169.9119764794117,0.0,0.0,0.0,0.0,0.0,True,64,169.9119764794117,PASS
65,5.320205926895142,9.860038515357036e-15,173.41153651959155,0.0,0.0,0.0,0.0,0.0,True,65,173.41153651959155,PASS
66,5.45008397102356,1.803992367993482e-14,174.75419152336573,0.0,0.0,0.0,0.0,0.0,True,66,174.75419152336573,PASS
67,5.597799062728882,2.88688237334708e-14,176.44143429771043,0.0,0.0,0.0,0.0,0.0,True,67,176.44143429771043,PASS
68,5.754503488540649,1.583935256339429e-14,178.37740777609997,0.0,0.0,0.0,0.0,0.0,True,68,178.37740777609997,PASS
69,5.961509704589844,2.0303515076822264e-14,179.916484020257,0.0,0.0,0.0,0.0,0.0,True,69,179.916484020257,PASS
70,6.151721954345703,3.3781472479752954e-15,182.20707848436646,0.0,0.0,0.0,0.0,0.0,True,70,182.20707848436646,PASS
71,6.35437798500061,1.8590428636651814e-14,184.8744678483875,0.0,0.0,0.0,0.0,0.0,True,71,184.8744678483875,PASS
72,6.558769702911377,2.281135853745856e-15,185.59878367770747,0.0,0.0,0.0,0.0,0.0,True,72,185.59878367770747,PASS
73,6.738728761672974,1.0147017343537331e-14,187.22892258350186,0.0,0.0,0.0,0.0,0.0,True,73,187.22892258350186,PASS
74,6.908232927322388,2.272471915000909e-14,189.41615865601693,0.0,0.0,0.0,0.0,0.0,True,74,189.41615865601693,PASS
75,7.072330713272095,8.467604632906704e-16,192.0266563607138,0.0,0.0,0.0,0.0,0.0,True,75,192.0266563607138,PASS
76,7.271198511123657,1.056418903846964e-14,193.0797266038457,0.0,0.0,0.0,0.0,0.0,True,76,193.0797266038457,PASS
77,7.444915294647217,9.57987196358088e-15,195.26539667952923,0.0,0.0,0.0,0.0,0.0,True,77,195.26539667952923,PASS
78,7.633345127105713,6.5144464987030005e-15,196.87648184095832,0.0,0.0,0.0,0.0,0.0,True,78,196.87648184095832,PASS
79,7.842766284942627,1.421413740289319e-14,198.01530967625192,0.0,0.0,0.0,0.0,0.0,True,79,198.01530967625192,PASS
80,8.056787490844727,3.795073024126323e-14,201.2647519437038,0.0,0.0,0.0,0.0,0.0,True,80,201.2647519437038,PASS
81,8.260200262069702,1.230113073788919e-14,202.49359451414054,0.0,0.0,0.0,0.0,0.0,True,81,202.49359451414054,PASS
82,8.460949659347534,1.8888765559417518e-14,204.18967180310455,0.0,0.0,0.0,0.0,0.0,True,82,204.18967180310455,PASS
83,8.641021013259888,1.684136355210282e-16,205.3946972021633,0.0,0.0,0.0,0.0,0.0,True,83,205.3946972021633,PASS
84,8.809425830841064,3.3225840322302804e-14,207.90625888780622,0.0,0.0,0.0,0.0,0.0,True,84,207.90625888780622,PASS
85,8.97835636138916,2.0088945397590535e-14,209.57650971685626,0.0,0.0,0.0,0.0,0.0,True,85,209.57650971685626,PASS
86,9.146153688430786,1.53644235280238e-14,211.6908625953653,0.0,0.0,0.0,0.0,0.0,True,86,211.6908625953653,PASS
87,9.323496103286743,2.1754896273293153e-14,213.34791935971268,0.0,0.0,0.0,0.0,0.0,True,87,213.34791935971268,PASS
