step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,S_total,T_A,T_B,E_A,E_B
0,1.0,94.98824132153842,0.0,94.98824132153842,0.0,0.0,20.47593034262955,0.19931118704250333,True,0.0,0.0,206.98143331101775,20.47593034262955,0.19931118704250333,999,1
100,101.0,67.90885626783147,0.0,67.90885626783147,0.0,0.0,17.475231606221122,1.4496316188820628,True,0.0,0.0,401.68168875616425,17.475231606221122,1.4496316188820628,849,151
200,201.0,49.65342283083226,0.0,49.65342283083226,0.0,0.0,15.034457585920379,2.283624396905523,True,0.0,0.0,460.5837903340291,15.034457585920379,2.283624396905523,727,273
300,301.0,39.59983089464237,0.0,39.59983089464237,0.0,0.0,13.45380653639505,2.817147856563543,True,0.0,0.0,486.1184043807343,13.45380653639505,2.817147856563543,648,352
400,401.0,32.99689664486257,0.0,32.99689664486257,0.0,0.0,12.273210895252033,3.2141144258192984,True,0.0,0.0,501.12109663089495,12.273210895252033,3.2141144258192984,589,411
500,501.0,27.35288955887573,0.0,27.35288955887573,0.0,0.0,11.132515426611901,3.596861445086123,True,0.0,0.0,513.0017240834904,11.132515426611901,3.596861445086123,532,468
600,601.0,24.931533758440132,0.0,24.931533758440132,0.0,0.0,10.592133694784033,3.7779680011024825,True,0.0,0.0,517.8392138211402,10.592133694784033,3.7779680011024825,505,495
700,701.0,21.179531744375623,0.0,21.179531744375623,0.0,0.0,9.671385051064226,4.086293614302173,True,0.0,0.0,525.0003379880941,9.671385051064226,4.086293614302173,459,541
800,801.0,21.487118418964783,0.0,21.487118418964783,0.0,0.0,9.75145576485301,4.0594927147617454,True,0.0,0.0,524.4301201503263,9.75145576485301,4.0594927147617454,463,537
900,901.0,21.642245632817243,0.0,21.642245632817243,0.0,0.0,9.791490687897051,4.046091596765998,True,0.0,0.0,524.1413104781191,9.791490687897051,4.046091596765998,465,535
1000,1001.0,19.984755050120512,0.0,19.984755050120512,0.0,0.0,9.3510900810974,4.19348002309059,True,0.0,0.0,527.1830124365852,9.3510900810974,4.19348002309059,443,557
1100,1101.0,19.337703314905536,0.0,19.337703314905536,0.0,0.0,9.170915102423123,4.253760846868721,True,0.0,0.0,528.342073946249,9.170915102423123,4.253760846868721,434,566
1200,1201.0,20.204440587656904,0.0,20.204440587656904,0.0,0.0,9.4111469179089,4.17338460889619,True,0.0,0.0,526.7856889460363,9.4111469179089,4.17338460889619,446,554
1300,1301.0,19.408708701465834,0.0,19.408708701465834,0.0,0.0,9.190934883418294,4.247063371950832,True,0.0,0.0,528.2157241237328,9.190934883418294,4.247063371950832,435,565
1400,1401.0,19.839409587479853,0.0,19.839409587479853,0.0,0.0,9.31105178239774,4.206876458522023,True,0.0,0.0,527.4448451067838,9.31105178239774,4.206876458522023,441,559
1500,1501.0,18.98601107573984,0.0,18.98601107573984,0.0,0.0,9.070814887178555,4.2872467750164995,True,0.0,0.0,528.96470282273,9.070814887178555,4.2872467750164995,429,571
1600,1601.0,18.846890371677084,0.0,18.846890371677084,0.0,0.0,9.030774178764633,4.3006404797244375,True,0.0,0.0,529.2095000625122,9.030774178764633,4.3006404797244375,427,573
1700,1701.0,18.231851723147308,0.0,18.231851723147308,0.0,0.0,8.850586430766635,4.360907553868752,True,0.0,0.0,530.281014948248,8.850586430766635,4.360907553868752,418,582
1800,1801.0,18.434863781905438,0.0,18.434863781905438,0.0,0.0,8.910649857469874,4.340819354609521,True,0.0,0.0,529.9293110351528,8.910649857469874,4.340819354609521,421,579
1900,1901.0,17.83183009324703,0.0,17.83183009324703,0.0,0.0,8.730456958034562,4.401081532830865,True,0.0,0.0,530.9680125526688,8.730456958034562,4.401081532830865,412,588
2000,2001.0,19.196359480327505,0.0,19.196359480327505,0.0,0.0,9.130875280104812,4.267155506046579,True,0.0,0.0,528.5929492080986,9.130875280104812,4.267155506046579,432,568
2100,2101.0,18.097621921587788,0.0,18.097621921587788,0.0,0.0,8.810543665652265,4.374299235884453,True,0.0,0.0,530.5124458793894,8.810543665652265,4.374299235884453,416,584
2200,2201.0,18.29930009532873,0.0,18.29930009532873,0.0,0.0,8.870607668478431,4.354211578031925,True,0.0,0.0,530.1643879142107,8.870607668478431,4.354211578031925,419,581
2300,2301.0,18.29930009532873,0.0,18.29930009532873,0.0,0.0,8.870607668478431,4.354211578031925,True,0.0,0.0,530.1643879142107,8.870607668478431,4.354211578031925,419,581
2400,2401.0,17.83183009324703,0.0,17.83183009324703,0.0,0.0,8.730456958034562,4.401081532830865,True,0.0,0.0,530.9680125526688,8.730456958034562,4.401081532830865,412,588
2500,2501.0,17.56959530536046,0.0,17.56959530536046,0.0,0.0,8.650368644181928,4.427862428622215,True,0.0,0.0,531.4138453604191,8.650368644181928,4.427862428622215,408,592
2600,2601.0,18.571316724029813,0.0,18.571316724029813,0.0,0.0,8.950691668828453,4.327426766037242,True,0.0,0.0,529.6918040259575,8.950691668828453,4.327426766037242,423,577
2700,2701.0,18.434863781905438,0.0,18.434863781905438,0.0,0.0,8.910649857469874,4.340819354609521,True,0.0,0.0,529.9293110351528,8.910649857469874,4.340819354609521,421,579
2800,2801.0,17.310917567800786,0.0,17.310917567800786,0.0,0.0,8.570278679003646,4.454641948657766,True,0.0,0.0,531.8499330096784,8.570278679003646,4.454641948657766,404,596
2900,2901.0,18.03084049245798,0.0,18.03084049245798,0.0,0.0,8.790522136928384,4.380994942891916,True,0.0,0.0,530.6272496073339,8.790522136928384,4.380994942891916,415,585
3000,3001.0,19.126021032428927,0.0,19.126021032428927,0.0,0.0,9.110855237636223,4.27385269122249,True,0.0,0.0,528.7174748838611,9.110855237636223,4.27385269122249,431,569
3100,3101.0,18.846890371677084,0.0,18.846890371677084,0.0,0.0,9.030774178764633,4.3006404797244375,True,0.0,0.0,529.2095000625122,9.030774178764633,4.3006404797244375,427,573
3200,3201.0,19.408708701465834,0.0,19.408708701465834,0.0,0.0,9.190934883418294,4.247063371950832,True,0.0,0.0,528.2157241237328,9.190934883418294,4.247063371950832,435,565
