step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,mode,metric_val,violation
0,0.001,0.4999998333342222,0.0,0.4999998333342222,0.0,0.0,9.999996666668e-06,0.0,True,0.0,0.0,tunneling,9.999996666668e-06,False
0,0.002,0.49999966675010854,0.0,0.49999966675010854,0.0,0.0,1.9992793340331638e-05,0.0,True,0.0,0.0,tunneling,1.9992793340331638e-05,False
0,0.003,0.49999950024761247,0.0,0.49999950024761247,0.0,0.0,2.9978395328976542e-05,0.0,True,0.0,0.0,tunneling,2.9978395328976542e-05,False
0,0.004,0.49999933382668743,0.0,0.49999933382668743,0.0,0.0,3.995680793640084e-05,0.0,True,0.0,0.0,tunneling,3.995680793640084e-05,False
0,0.005,0.49999916748728684,0.0,0.49999916748728684,0.0,0.0,4.992803646221869e-05,0.0,True,0.0,0.0,tunneling,4.992803646221869e-05,False
0,0.006,0.4999990012293642,0.0,0.4999990012293642,0.0,0.0,5.989208620186379e-05,0.0,True,0.0,0.0,tunneling,5.989208620186379e-05,False
0,0.007,0.499998835052873,0.0,0.499998835052873,0.0,0.0,6.98489624465929e-05,0.0,True,0.0,0.0,tunneling,6.98489624465929e-05,False
0,0.008,0.4999986689577669,0.0,0.4999986689577669,0.0,0.0,7.979867048348932e-05,0.0,True,0.0,0.0,tunneling,7.979867048348932e-05,False
0,0.009000000000000001,0.4999985029439994,0.0,0.4999985029439994,0.0,0.0,8.974121559546644e-05,0.0,True,0.0,0.0,tunneling,8.974121559546644e-05,False
0,0.010000000000000002,0.4999983370115242,0.0,0.4999983370115242,0.0,0.0,9.96766030612712e-05,0.0,True,0.0,0.0,tunneling,9.96766030612712e-05,False
0,0.011000000000000003,0.499998171160295,0.0,0.499998171160295,0.0,0.0,0.0001096048381554876,0.0,True,0.0,0.0,tunneling,0.0001096048381554876,False
0,0.012000000000000004,0.4999980053902653,0.0,0.4999980053902653,0.0,0.0,0.00011952592614854022,0.0,True,0.0,0.0,tunneling,0.00011952592614854022,False
0,0.013000000000000005,0.49999783970138895,0.0,0.49999783970138895,0.0,0.0,0.00012943987230669765,0.0,True,0.0,0.0,tunneling,0.00012943987230669765,False
0,0.014000000000000005,0.49999767409361967,0.0,0.49999767409361967,0.0,0.0,0.00013934668189207608,0.0,True,0.0,0.0,tunneling,0.00013934668189207608,False
0,0.015000000000000006,0.4999975085669112,0.0,0.4999975085669112,0.0,0.0,0.00014924636016264267,0.0,True,0.0,0.0,tunneling,0.00014924636016264267,False
0,0.016000000000000007,0.49999734312121746,0.0,0.49999734312121746,0.0,0.0,0.00015913891237221914,0.0,True,0.0,0.0,tunneling,0.00015913891237221914,False
0,0.017000000000000008,0.49999717775649216,0.0,0.49999717775649216,0.0,0.0,0.00016902434377048515,0.0,True,0.0,0.0,tunneling,0.00016902434377048515,False
0,0.01800000000000001,0.4999970124726893,0.0,0.4999970124726893,0.0,0.0,0.00017890265960298187,0.0,True,0.0,0.0,tunneling,0.00017890265960298187,False
0,0.01900000000000001,0.4999968472697626,0.0,0.4999968472697626,0.0,0.0,0.00018877386511111536,0.0,True,0.0,0.0,tunneling,0.00018877386511111536,False
0,0.02000000000000001,0.4999966821476662,0.0,0.4999966821476662,0.0,0.0,0.00019863796553216015,0.0,True,0.0,0.0,tunneling,0.00019863796553216015,False
0,0.02100000000000001,0.4999965171063539,0.0,0.4999965171063539,0.0,0.0,0.00020849496609926264,0.0,True,0.0,0.0,tunneling,0.00020849496609926264,False
0,0.022000000000000013,0.4999963521457798,0.0,0.4999963521457798,0.0,0.0,0.00021834487204144452,0.0,True,0.0,0.0,tunneling,0.00021834487204144452,False
0,0.023000000000000013,0.49999618726589784,0.0,0.49999618726589784,0.0,0.0,0.00022818768858360632,0.0,True,0.0,0.0,tunneling,0.00022818768858360632,False
0,0.024000000000000014,0.49999602246666214,0.0,0.49999602246666214,0.0,0.0,0.00023802342094653083,0.0,True,0.0,0.0,tunneling,0.00023802342094653083,False
0,0.025000000000000015,0.49999585774802674,0.0,0.49999585774802674,0.0,0.0,0.00024785207434688657,0.0,True,0.0,0.0,tunneling,0.00024785207434688657,False
0,0.026000000000000016,0.4999956931099458,0.0,0.4999956931099458,0.0,0.0,0.00025767365399723125,0.0,True,0.0,0.0,tunneling,0.00025767365399723125,False
0,0.027000000000000017,0.4999955285523735,0.0,0.4999955285523735,0.0,0.0,0.0002674881651060151,0.0,True,0.0,0.0,tunneling,0.0002674881651060151,False
0,0.028000000000000018,0.4999953640752638,0.0,0.4999953640752638,0.0,0.0,0.00027729561287758456,0.0,True,0.0,0.0,tunneling,0.00027729561287758456,False
0,0.02900000000000002,0.49999519967857114,0.0,0.49999519967857114,0.0,0.0,0.0002870960025121855,0.0,True,0.0,0.0,tunneling,0.0002870960025121855,False
0,0.03000000000000002,0.4999950353622497,0.0,0.4999950353622497,0.0,0.0,0.00029688933920596664,0.0,True,0.0,0.0,tunneling,0.00029688933920596664,False
0,0.03100000000000002,0.49999487112625374,0.0,0.49999487112625374,0.0,0.0,0.0003066756281509833,1.2500000000000028e-125,True,0.0,0.0,tunneling,0.0003066756281509833,False
0,0.03200000000000002,0.49999470697053755,0.0,0.49999470697053755,0.0,0.0,0.00031645487453520047,3.997687500000011e-124,True,0.0,0.0,tunneling,0.00031645487453520047,False
0,0.03300000000000002,0.4999945428950554,0.0,0.4999945428950554,0.0,0.0,0.00032622708354249644,6.59237121476564e-123,True,0.0,0.0,tunneling,0.00032622708354249644,False
