Metric,UET,Observed,Error_Pct,Status
Tc_Al,1.09,1.18,7.95,PASS
Tc_Pb,8.76,7.20,21.73,FAIL
Tc_Nb,9.13,9.25,1.31,PASS
Tc_Sn,3.54,3.72,4.71,PASS
Tc_V,5.06,5.40,6.23,PASS
Tc_Hg,6.10,4.15,46.94,FAIL
Tc_In,3.48,3.40,2.49,PASS
Tc_Ta,5.08,4.47,13.55,PASS
AVG_ERROR,-,-,13.11,INFO
PASS_RATE,75.0,100.0,-,INFO
