step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility,value_delta
0,0.01,0.050263671875,0.0,0.0,0.0,0.0,1.0,0.0,True,0.05,0.000263671875,0,0,0.0,0.0,100.00000017578125,0.0,0.0
1,0.02,0.100474609375,0.0,0.0,0.0,0.0,1.0,0.0,True,0.1,0.0004746093750000001,0,0,0.0,0.0,100.00000049218751,0.0,0.0
2,0.03,0.15064072265625,0.0,0.0,0.0,0.0,1.0,0.0,True,0.15000000000000002,0.0006407226562500001,0,0,0.0,0.0,100.00000091933595,0.0,0.0
3,0.04,0.2007688671875,0.0,0.0,0.0,0.0,1.0,0.0,True,0.2,0.0007688671875000002,0,0,0.0,0.0,100.00000143191409,0.0,0.0
4,0.05,0.25086497558593746,0.0,0.0,0.0,0.0,1.0,0.0,True,0.25,0.0008649755859375003,0,0,0.0,0.0,100.0000020085645,0.0,0.0
5,0.060000000000000005,0.3009341736328125,0.0,0.0,0.0,0.0,1.0,0.0,True,0.3,0.0009341736328125003,0,0,0.0,0.0,100.00000263134693,0.0,0.0
6,0.07,0.3509808823144532,0.0,0.0,0.0,0.0,1.0,0.0,True,0.35000000000000003,0.0009808823144531252,0,0,0.0,0.0,100.00000328526849,0.0,0.0
7,0.08,0.40100890752343754,0.0,0.0,0.0,0.0,1.0,0.0,True,0.4,0.0010089075234375007,0,0,0.0,0.0,100.00000395787353,0.0,0.0
8,0.09,0.45102151886748054,0.0,0.0,0.0,0.0,1.0,0.0,True,0.45000000000000007,0.0010215188674804693,0,0,0.0,0.0,100.00000463888614,0.0,0.0
9,0.09999999999999999,0.5010215188674805,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5,0.0010215188674804693,0,0,0.0,0.0,100.00000531989875,0.0,0.0
10,0.10999999999999999,0.5510113036788058,0.0,0.0,0.0,0.0,1.0,0.0,True,0.55,0.0010113036788056645,0,0,0.0,0.0,100.00000599410123,0.0,0.0
11,0.11999999999999998,0.600992916339191,0.0,0.0,0.0,0.0,1.0,0.0,True,0.6000000000000001,0.0009929163391910161,0,0,0.0,0.0,100.0000066560455,0.0,0.0
12,0.12999999999999998,0.6509680934307113,0.0,0.0,0.0,0.0,1.0,0.0,True,0.6500000000000001,0.0009680934307112407,0,0,0.0,0.0,100.00000730144117,0.0,0.0
13,0.13999999999999999,0.7009383059405356,0.0,0.0,0.0,0.0,1.0,0.0,True,0.7,0.0009383059405355102,0,0,0.0,0.0,100.00000792697851,0.0,0.0
14,0.15,0.7884047950140878,0.0,0.0,0.0,0.0,1.0,0.0,True,0.7875000000000001,0.0009047950140878136,0,0,0.0,0.0,100.00000853017524,0.0,0.0
15,0.16,0.8133686032135243,0.0,0.0,0.0,0.0,1.0,0.0,True,0.8125,0.000868603213524301,0,0,0.0,0.0,100.0000091092441,0.0,0.0
16,0.17,0.8633306018229325,0.0,0.0,0.0,0.0,1.0,0.0,True,0.8625,0.0008306018229326129,0,0,0.0,0.0,100.0000096629787,0.0,0.0
17,0.18000000000000002,0.913291514678324,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9125000000000001,0.0007915146783240195,0,0,0.0,0.0,100.0000101906552,0.0,0.0
18,0.19000000000000003,0.9382519389444077,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9375,0.0007519389444078184,0,0,0.0,0.0,100.00001069194788,0.0,0.0
19,0.20000000000000004,0.9882123632104918,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9875,0.0007123632104916176,0,0,0.0,0.0,100.00001116685674,0.0,0.0
20,0.21000000000000005,1.0756731832339146,0.0,0.0,0.0,0.0,1.0,0.0,True,1.075,0.0006731832339145786,0,0,0.0,0.0,100.00001161564562,0.0,0.0
21,0.22000000000000006,1.125634715620548,0.0,0.0,0.0,0.0,1.0,0.0,True,1.125,0.0006347156205480313,0,0,0.0,0.0,100.00001203878941,0.0,0.0
22,0.23000000000000007,1.1755972096975156,0.0,0.0,0.0,0.0,1.0,0.0,True,1.175,0.0005972096975156476,0,0,0.0,0.0,100.00001243692924,0.0,0.0
23,0.24000000000000007,1.2630608578028844,0.0,0.0,0.0,0.0,1.0,0.0,True,1.2625000000000002,0.0005608578028842604,0,0,0.0,0.0,100.00001281083448,0.0,0.0
24,0.25000000000000006,1.2880258041902042,0.0,0.0,0.0,0.0,1.0,0.0,True,1.2875,0.0005258041902039942,0,0,0.0,0.0,100.00001316137066,0.0,0.0
25,0.26000000000000006,1.3379921527220309,0.0,0.0,0.0,0.0,1.0,0.0,True,1.3375,0.0004921527220309386,0,0,0.0,0.0,100.00001348947252,0.0,0.0
26,0.2700000000000001,1.4254599735055904,0.0,0.0,0.0,0.0,1.0,0.0,True,1.4249999999999998,0.0004599735055904541,0,0,0.0,0.0,100.00001379612156,0.0,0.0
27,0.2800000000000001,1.4754293086052177,0.0,0.0,0.0,0.0,1.0,0.0,True,1.475,0.0004293086052177572,0,0,0.0,0.0,100.00001408232733,0.0,0.0
28,0.2900000000000001,1.5004001769498636,0.0,0.0,0.0,0.0,1.0,0.0,True,1.5,0.0004001769498636951,0,0,0.0,0.0,100.000014349112,0.0,0.0
29,0.3000000000000001,1.5503725785395281,0.0,0.0,0.0,0.0,1.0,0.0,True,1.55,0.0003725785395282679,0,0,0.0,0.0,100.00001459749774,0.0,0.0
30,0.3100000000000001,1.6003464980417614,0.0,0.0,0.0,0.0,1.0,0.0,True,1.6,0.00034649804176128913,0,0,0.0,0.0,100.00001482849646,0.0,0.0
31,0.3200000000000001,1.6503219078581526,0.0,0.0,0.0,0.0,1.0,0.0,True,1.65,0.00032190785815242344,0,0,0.0,0.0,100.00001504310174,0.0,0.0
32,0.3300000000000001,1.700298770730848,0.0,0.0,0.0,0.0,1.0,0.0,True,1.7000000000000002,0.000298770730847718,0,0,0.0,0.0,100.00001524228226,0.0,0.0
33,0.34000000000000014,1.8502770419504224,0.0,0.0,0.0,0.0,2.0,0.0,True,1.85,0.00027704195042242946,0,0,0.0,0.0,100.00001542697693,0.0,0.0
34,0.35000000000000014,1.9002566712187738,0.0,0.0,0.0,0.0,2.0,0.0,True,1.9,0.00025667121877372145,0,0,0.0,0.0,100.0000155980911,0.0,0.0
35,0.36000000000000015,1.9502376042139506,0.0,0.0,0.0,0.0,2.0,0.0,True,1.9500000000000002,0.00023760421395053067,0,0,0.0,0.0,100.00001575649392,0.0,0.0
36,0.37000000000000016,2.100219783897904,0.0,0.0,0.0,0.0,2.0,0.0,True,2.1,0.0002197838979042409,0,0,0.0,0.0,100.00001590301655,0.0,0.0
37,0.38000000000000017,2.150203151602928,0.0,0.0,0.0,0.0,2.0,0.0,True,2.15,0.00020315160292770377,0,0,0.0,0.0,100.00001603845097,0.0,0.0
38,0.3900000000000002,2.2001876479279674,0.0,0.0,0.0,0.0,2.0,0.0,True,2.2,0.00018764792796743164,0,0,0.0,0.0,100.0000161635496,0.0,0.0
39,0.4000000000000002,2.25017321347197,0.0,0.0,0.0,0.0,2.0,0.0,True,2.25,0.0001732134719699369,0,0,0.0,0.0,100.00001627902527,0.0,0.0
40,0.4100000000000002,2.3001597894278927,0.0,0.0,0.0,0.0,2.0,0.0,True,2.3,0.00015978942789226678,0,0,0.0,0.0,100.00001638555158,0.0,0.0
41,0.4200000000000002,2.3876473180579105,0.0,0.0,0.0,0.0,2.0,0.0,True,2.3875,0.00014731805791043132,0,0,0.0,0.0,100.00001648376363,0.0,0.0
42,0.4300000000000002,2.437635743067646,0.0,0.0,0.0,0.0,2.0,0.0,True,2.4375,0.00013574306764604026,0,0,0.0,0.0,100.00001657425904,0.0,0.0
43,0.4400000000000002,2.4876250098948556,0.0,0.0,0.0,0.0,2.0,0.0,True,2.4875,0.00012500989485542314,0,0,0.0,0.0,100.00001665759899,0.0,0.0
44,0.45000000000000023,2.5376150659259467,0.0,0.0,0.0,0.0,2.0,0.0,True,2.5375,0.00011506592594646902,0,0,0.0,0.0,100.00001673430963,0.0,0.0
45,0.46000000000000024,2.800105860651871,0.0,0.0,0.0,0.0,2.0,0.0,True,2.8000000000000003,0.0001058606518707515,0,0,0.0,0.0,100.0000168048834,0.0,0.0
46,0.47000000000000025,2.825097345773351,0.0,0.0,0.0,0.0,2.0,0.0,True,2.825,9.73457733507128e-05,0,0,0.0,0.0,100.0000168697806,0.0,0.0
47,0.48000000000000026,2.9125894752640162,0.0,0.0,0.0,0.0,2.0,0.0,True,2.9125,8.947526401597433e-05,0,0,0.0,0.0,100.00001692943079,0.0,0.0
48,0.49000000000000027,2.9375822053988148,0.0,0.0,0.0,0.0,2.0,0.0,True,2.9375,8.220539881467642e-05,0,0,0.0,0.0,100.0000169842344,0.0,0.0
49,0.5000000000000002,3.025075494754014,0.0,0.0,0.0,0.0,2.0,0.0,True,3.0250000000000004,7.549475401347833e-05,0,0,0.0,0.0,100.00001703456424,0.0,0.0
50,0.5100000000000002,3.0500693041841846,0.0,0.0,0.0,0.0,2.0,0.0,True,3.05,6.930418418437312e-05,0,0,0.0,0.0,100.00001708076704,0.0,0.0
51,0.5200000000000002,3.137563596780781,0.0,0.0,0.0,0.0,2.0,0.0,True,3.1375,6.359678078095415e-05,0,0,0.0,0.0,100.00001712316491,0.0,0.0
52,0.5300000000000002,3.1875583378162164,0.0,0.0,0.0,0.0,2.0,0.0,True,3.1875,5.833781621637526e-05,0,0,0.0,0.0,100.00001716205678,0.0,0.0
53,0.5400000000000003,3.2375534946767566,0.0,0.0,0.0,0.0,2.0,0.0,True,3.2375,5.349467675690259e-05,0,0,0.0,0.0,100.0000171977199,0.0,0.0
54,0.5500000000000003,3.2875490367870275,0.0,0.0,0.0,0.0,2.0,0.0,True,3.2875,4.903678702716071e-05,0,0,0.0,0.0,100.00001723041109,0.0,0.0
55,0.5600000000000003,3.3375449355284754,0.0,0.0,0.0,0.0,2.0,0.0,True,3.3375000000000004,4.493552847579818e-05,0,0,0.0,0.0,100.00001726036811,0.0,0.0
56,0.5700000000000003,3.387541164153765,0.0,0.0,0.0,0.0,2.0,0.0,True,3.3875,4.116415376443654e-05,0,0,0.0,0.0,100.00001728781088,0.0,0.0
57,0.5800000000000003,3.4375376976987106,0.0,0.0,0.0,0.0,2.0,0.0,True,3.4375,3.769769871058925e-05,0,0,0.0,0.0,100.00001731294269,0.0,0.0
58,0.5900000000000003,3.46253451289313,0.0,0.0,0.0,0.0,2.0,0.0,True,3.4625,3.4512893129867065e-05,0,0,0.0,0.0,100.00001733595128,0.0,0.0
59,0.6000000000000003,3.5500315880716786,0.0,0.0,0.0,0.0,2.0,0.0,True,3.5500000000000003,3.158807167818342e-05,0,0,0.0,0.0,100.00001735701,0.0,0.0
60,0.6100000000000003,3.6750289030855856,0.0,0.0,0.0,0.0,2.0,0.0,True,3.6750000000000003,2.8903085585537827e-05,0,0,0.0,0.0,100.00001737627872,0.0,0.0
