step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,2.17052536167175,0.0,2.17052536167175,0.0,0.0,16.7913497716342,0.020344989131793806,True,0.0,0.0,0.8324334102272241,1.8659497168318173,0.1506085102,0.002,1.1510461911057293,0.0,1.1510461911057293,0.0,0.0,9.180632005956824,0.012535576597748945,True,0.0,0.0,0.9647719987164104,1.5043004205595363,0.09102333902312458
3,0.003,2.2882029756786673,0.0,2.2882029756786673,0.0,0.0,13.627104593713375,0.001,True,0.0,0.0,0.8548927690571149,1.9696221464984152,0.12556524278217016
4,0.004,5.346154556002915,0.0,5.346154556002915,0.0,0.0,23.75388791627121,0.001,True,0.0,0.0,0.4578763883043183,2.727838832168442,0.1985197173410677
5,0.005,20.234063992600376,0.0,20.234063992600376,0.0,0.0,44.85883494161954,0.001,True,0.0,0.0,0.0,3.057895396033473,0.21864112712056602
6,0.006,56.8508386538448,0.0,56.8508386538448,0.0,0.0,73.186872575748,0.001,True,0.0,0.0,0.0,3.4765363484525107,0.2429792292393639
7,0.007,157.0957708479292,0.0,157.0957708479292,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,2.9194659779749506,0.17121293380449049
8,0.008,173.4593891208669,0.0,173.4593891208669,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,2.5913587369954727,0.14648011373191588
9,0.009000000000000001,327.65049378378103,0.0,327.65049378378103,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.8835488427607308,0.08185565915182282
10,0.010000000000000002,470.0249377811237,0.0,470.0249377811237,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.536704621158706,0.05877466820241761
11,0.011000000000000003,1043.6215410945572,0.0,1043.6215410945572,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.3128002047243539,0.03565458417353427
12,0.012000000000000004,1543.013409690247,0.0,1543.013409690247,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.1903873333671704,0.027668241739548453
13,0.013000000000000005,1967.1726663699587,0.0,1967.1726663699587,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0483235847275691,0.022847767421802792
14,0.014000000000000005,2166.7323344982424,0.0,2166.7323344982424,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.035773117894211,0.021643681861795747
15,0.015000000000000006,2369.9578606248965,0.0,2369.9578606248965,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9885401854174527,0.02021624833571547
16,0.016000000000000007,2387.3165519096415,0.0,2387.3165519096415,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0061106896109655,0.02032292914403038
17,0.017000000000000008,2463.9527852292163,0.0,2463.9527852292163,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9711499354673282,0.01965737541438122
18,0.01800000000000001,2360.3059557167703,0.0,2360.3059557167703,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9985493036521104,0.02035980365841021
19,0.01900000000000001,2467.7839335981976,0.0,2467.7839335981976,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9671145690894859,0.019602287062039838
20,0.02000000000000001,2370.5165724635585,0.0,2370.5165724635585,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0128139365293019,0.020463261654208937
21,0.02100000000000001,2479.3669136584904,0.0,2479.3669136584904,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9686351404054724,0.019571922117456914
22,0.022000000000000013,2368.9361543995387,0.0,2368.9361543995387,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0137687517135512,0.02047989202609742
23,0.023000000000000013,2494.046926573274,0.0,2494.046926573274,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9658586450443996,0.01948747919052167
24,0.024000000000000014,2374.238409062369,0.0,2374.238409062369,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0110326947669406,0.02042898953984444
25,0.025000000000000015,2474.6166883068654,0.0,2474.6166883068654,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9704336014023517,0.01960830582858845
26,0.026000000000000016,2373.9618596220075,0.0,2373.9618596220075,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0112748316507012,0.020432666214637074
27,0.027000000000000017,2489.453619276094,0.0,2489.453619276094,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9660991399570052,0.019507637619964126
28,0.028000000000000018,2362.019866850515,0.0,2362.019866850515,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.019608658856032,0.02057013296676456
29,0.02900000000000002,2496.83819480695,0.0,2496.83819480695,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9648351275486244,0.019466632166404534
30,0.03000000000000002,2371.5334578966426,0.0,2371.5334578966426,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0128566946085351,0.02045935965326793
31,0.03100000000000002,2493.585053914914,0.0,2493.585053914914,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9650256191249775,0.019481072420813907
32,0.03200000000000002,2359.052073114059,0.0,2359.052073114059,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.02197691665851,0.020607569506705215
33,0.03300000000000002,2502.9160693966096,0.0,2502.9160693966096,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9635227645654426,0.019430342843556242
34,0.03400000000000002,2355.466611112956,0.0,2355.466611112956,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.027971053153964,0.020685604556191062
35,0.035000000000000024,2517.666847483143,0.0,2517.666847483143,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.962024302802895,0.019359259419776963
36,0.036000000000000025,2353.1881991342707,0.0,2353.1881991342707,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0358309604761755,0.02077779657777359
37,0.037000000000000026,2536.620438711782,0.0,2536.620438711782,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9610626301911428,0.019278158259632264
38,0.03800000000000003,2352.499480260001,0.0,2352.499480260001,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0408113159254633,0.020833107641329545
39,0.03900000000000003,2548.49952024,0.0,2548.49952024,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9607504466571571,0.019230591717611215
40,0.04000000000000003,2352.499480260001,0.0,2352.499480260001,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0408113159254633,0.020833107641329545
41,0.04100000000000003,2548.49952024,0.0,2548.49952024,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9607504466571571,0.019230591717611215
42,0.04200000000000003,2357.851255042695,0.0,2357.851255042695,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0291669346645178,0.020687732518065854
43,0.04300000000000003,2520.2056156526232,0.0,2520.2056156526232,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.963043053487894,0.0193595546709582
44,0.04400000000000003,2370.4598499043914,0.0,2370.4598499043914,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0232779511652745,0.020571927402101637
45,0.04500000000000003,2504.813018101265,0.0,2504.813018101265,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9692479391639335,0.019479270755158543
46,0.046000000000000034,2384.570171063158,0.0,2384.570171063158,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0209031305129457,0.02048699410315454
47,0.047000000000000035,2499.618568566709,0.0,2499.618568566709,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9779027922256976,0.019584691228273877
48,0.048000000000000036,2395.7506598042823,0.0,2395.7506598042823,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0202550849777134,0.020432920419295276
49,0.04900000000000004,2506.6937866542435,0.0,2506.6937866542435,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.967927967456124,0.019459063719597
50,0.05000000000000004,2382.0856703374916,0.0,2382.0856703374916,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0211654590257606,0.020500284547811803

